Stat Name,Value
emerald,53001
dirt,38667
moss_block,23376
cobblestone,22871
stone,18538
iron_ingot,18497
netherrack,16796
sand,15357
redstone,15117
sandstone,13557
deepslate,12704
grass_block,12280
wheat_seeds,11559
cobbled_deepslate,10648
bamboo,9727
raw_copper,8861
jungle_log,8557
oak_log,7083
bone,6711
arrow,6435
snowball,6308
moss_carpet,5683
dark_oak_log,5222
packed_ice,4711
spruce_log,4532
oak_leaves,4187
tuff,3645
bone_meal,3629
stick,3306
soul_sand,3268
carrot,3191
ice,3177
glass,3137
ender_pearl,2923
sugar_cane,2881
wheat,2850
book,2816
gravel,2800
bricks,2762
dripstone_block,2702
smooth_stone,2637
coal,2592
andesite,2570
kelp,2499
end_stone,2421
emerald_block,2395
terracotta,2347
player_head,2344
glass_bottle,2339
granite,2311
torch,2135
birch_log,2077
scaffolding,1987
red_terracotta,1961
rail,1935
iron_block,1888
stone_bricks,1876
azalea,1798
lapis_lazuli,1796
magma_block,1681
smooth_stone_slab,1636
quartz,1615
raw_gold,1598
orange_terracotta,1584
calcite,1564
diorite,1557
gunpowder,1462
redstone_block,1383
firework_rocket,1348
azalea_leaves,1340
pointed_dripstone,1332
brown_mushroom_block,1317
raw_iron,1267
spider_eye,1238
glowstone_dust,1207
cherry_leaves,1185
jungle_fence_gate,1156
sugar,1146
obsidian,1084
lectern,989
shulker_box,965
acacia_log,960
golden_carrot,939
minecart,936
flowering_azalea,933
deepslate_tile_slab,913
string,905
polished_andesite,878
blackstone,873
rotten_flesh,799
soul_soil,787
pumpkin_seeds,772
warped_wart_block,767
jungle_leaves,736
carved_pumpkin,726
brown_mushroom,707
beef,686
blue_ice,684
deepslate_bricks,672
potato,670
white_banner,656
mangrove_leaves,632
mud,624
chest,617
podzol,612
oak_sapling,588
sea_pickle,582
wither_rose,573
white_terracotta,559
bone_block,558
cooked_beef,546
spruce_sapling,541
mutton,527
gold_ingot,521
white_wool,521
diamond,515
nether_gold_ore,506
copper_ore,505
leather,491
chorus_fruit,478
dark_oak_planks,471
acacia_leaves,465
oxidized_copper,451
nether_bricks,416
hopper,415
smooth_basalt,414
cut_sandstone,411
poppy,409
bow,405
spruce_trapdoor,396
flowering_azalea_leaves,383
mud_bricks,380
mangrove_roots,358
piston,348
porkchop,346
oak_planks,331
polished_deepslate_slab,328
black_concrete,326
stone_slab,324
basalt,321
warped_fungus,317
warped_stem,298
redstone_torch,280
clay_ball,276
stone_brick_slab,276
pink_petals,274
quartz_block,272
cocoa_beans,272
deepslate_redstone_ore,267
coal_ore,266
powered_rail,266
tnt,265
jungle_sapling,259
lime_dye,259
lever,258
stone_button,258
polished_basalt,256
blaze_rod,256
birch_sapling,252
snow_block,252
polished_andesite_slab,246
stripped_birch_log,239
lilac,237
birch_planks,236
spruce_planks,229
short_grass,227
ladder,223
dark_oak_sapling,218
flint,217
amethyst_block,217
apple,216
dark_oak_trapdoor,209
jungle_planks,208
lantern,201
pumpkin,200
black_stained_glass,199
spectral_arrow,199
birch_trapdoor,198
nether_brick,196
potion,192
observer,188
white_stained_glass,187
mushroom_stem,185
comparator,184
totem_of_undying,183
cherry_log,183
light_gray_stained_glass,181
repeater,180
crossbow,180
gold_nugget,177
smooth_sandstone_slab,172
dandelion,170
rooted_dirt,169
warped_nylium,166
charcoal,166
iron_axe,163
packed_mud,160
shulker_shell,160
composter,159
white_stained_glass_pane,158
bread,157
coarse_dirt,152
spruce_slab,149
deepslate_diamond_ore,149
crimson_stem,149
dark_oak_slab,145
nether_wart_block,145
oak_sign,144
nether_wart,137
oak_trapdoor,134
brick_slab,134
ink_sac,134
polished_granite,133
yellow_shulker_box,130
yellow_stained_glass,130
acacia_sapling,130
cooked_mutton,128
barrel,127
iron_nugget,127
mangrove_log,123
slime_ball,122
smooth_sandstone_stairs,121
brick_stairs,121
slime_block,116
polished_deepslate,115
nether_quartz_ore,115
purpur_block,113
rose_bush,110
stripped_oak_log,110
baked_potato,109
spruce_stairs,106
smooth_sandstone,106
polished_andesite_stairs,105
egg,104
oak_slab,101
hopper_minecart,100
sticky_piston,99
light_gray_terracotta,98
crafting_table,95
bookshelf,94
crying_obsidian,94
shroomlight,93
peony,93
armor_stand,91
ender_chest,89
chiseled_stone_bricks,88
blaze_powder,83
oak_stairs,82
beetroot_seeds,82
white_bed,80
jungle_slab,79
glow_ink_sac,79
orange_tulip,78
sunflower,78
enchanted_book,77
iron_ore,76
spruce_wood,76
diamond_pickaxe,75
furnace,74
deepslate_copper_ore,73
dark_prismarine_slab,73
acacia_planks,71
deepslate_gold_ore,71
light_gray_shulker_box,70
mangrove_fence,69
name_tag,68
spruce_leaves,68
mangrove_planks,68
magma_cream,68
cornflower,67
stone_stairs,67
honeycomb,66
chain,66
pumpkin_pie,66
mossy_cobblestone,65
oak_boat,65
dried_kelp,64
iron_bars,63
dropper,63
jungle_trapdoor,63
red_mushroom,63
item_frame,63
mossy_cobblestone_slab,62
dark_oak_leaves,62
warped_trapdoor,61
cyan_glazed_terracotta,60
birch_slab,59
lime_stained_glass_pane,59
ancient_debris,59
end_stone_bricks,59
brick_wall,58
red_tulip,58
mangrove_button,56
dark_prismarine,56
cobblestone_stairs,56
raw_iron_block,56
brick,55
magenta_dye,54
warped_roots,53
yellow_dye,52
diamond_shovel,52
stripped_spruce_log,51
deepslate_iron_ore,51
fletching_table,51
diamond_sword,51
oxidized_copper_trapdoor,50
golden_leggings,50
end_rod,49
stone_brick_stairs,49
white_dye,48
jungle_fence,48
spruce_fence,48
glowstone,47
black_carpet,47
birch_leaves,46
dispenser,45
sculk,45
dark_prismarine_stairs,45
bamboo_slab,44
diamond_axe,44
cobblestone_slab,43
melon,43
red_mushroom_block,43
splash_potion,41
mangrove_propagule,41
yellow_wool,40
allium,40
nether_brick_stairs,38
lapis_ore,38
iron_boots,38
cobbled_deepslate_wall,38
melon_slice,37
chiseled_bookshelf,37
birch_stairs,37
shield,36
glistering_melon_slice,36
polished_tuff_slab,36
birch_boat,36
stripped_jungle_log,36
honey_block,36
spruce_sign,35
sculk_sensor,35
chicken,35
golden_helmet,34
twisting_vines,34
purpur_pillar,33
bucket,33
sandstone_slab,33
iron_leggings,33
amethyst_shard,32
jungle_stairs,32
azure_bluet,31
oak_fence,31
feather,30
cut_sandstone_slab,30
fire_charge,29
dark_oak_button,29
golden_boots,29
crimson_nylium,29
elytra,28
black_stained_glass_pane,28
golden_chestplate,27
nether_brick_fence,27
brewing_stand,27
water_bucket,26
bee_nest,26
deepslate_lapis_ore,26
crimson_fungus,26
tinted_glass,26
horn_coral_block,25
cooked_porkchop,25
iron_helmet,25
paper,24
soul_torch,23
green_bed,23
diamond_boots,23
ochre_froglight,23
iron_sword,23
lead,22
diamond_helmet,22
tuff_brick_slab,22
smooth_quartz_slab,22
cookie,22
iron_chestplate,22
beetroot,22
written_book,22
black_dye,22
diamond_hoe,21
light_blue_terracotta,21
pink_wool,21
seagrass,21
bamboo_block,21
chiseled_sandstone,21
mangrove_wood,21
diamond_leggings,20
jack_o_lantern,20
leather_leggings,20
flint_and_steel,20
birch_sign,20
leather_chestplate,20
cobblestone_wall,20
verdant_froglight,20
deepslate_tiles,20
fire_coral_block,20
gray_shulker_box,19
cracked_polished_blackstone_bricks,19
red_bed,19
leather_boots,19
dead_bush,19
acacia_button,18
diamond_block,18
cactus,18
purpur_stairs,17
stone_brick_wall,17
chiseled_tuff,17
shears,17
green_shulker_box,17
stonecutter,16
fern,16
lily_pad,16
dark_oak_stairs,16
polished_deepslate_stairs,16
quartz_stairs,16
clay,16
leather_helmet,15
iron_pickaxe,15
gray_carpet,15
oak_hanging_sign,15
beacon,14
yellow_bed,14
loom,14
stripped_acacia_log,14
stripped_dark_oak_log,14
pink_shulker_box,14
cod,14
spruce_boat,14
detector_rail,14
acacia_stairs,13
iron_shovel,13
jungle_sign,13
purpur_slab,13
red_sand,13
tube_coral_block,13
spruce_fence_gate,13
saddle,13
red_dye,12
snow,12
compass,12
quartz_slab,12
campfire,12
sculk_shrieker,11
stone_sword,11
bamboo_mosaic_slab,11
diamond_chestplate,11
blue_orchid,11
red_shulker_box,11
chainmail_chestplate,11
pink_bed,11
horn_coral,11
bubble_coral_block,11
salmon,11
glow_lichen,10
dragon_head,10
tripwire_hook,10
acacia_wood,10
stone_pressure_plate,10
weeping_vines,10
cooked_chicken,10
dark_oak_wood,10
anvil,10
iron_door,10
yellow_concrete,10
blast_furnace,10
pufferfish,9
cauldron,9
lime_carpet,9
white_tulip,9
goat_horn,9
dark_oak_chest_boat,9
chainmail_leggings,9
chainmail_boots,9
prismarine_crystals,9
blue_stained_glass,9
oxidized_cut_copper_stairs,9
blue_concrete,8
dark_oak_sign,8
lapis_block,8
prismarine_bricks,8
granite_wall,8
grindstone,8
diorite_wall,8
netherite_boots,8
cherry_sapling,8
prismarine_shard,8
green_concrete,8
chainmail_helmet,8
redstone_ore,8
fire_coral_fan,8
mud_brick_wall,8
red_concrete,8
furnace_minecart,7
stone_pickaxe,7
sweet_berries,7
light_blue_shulker_box,7
golden_apple,7
andesite_slab,7
note_block,7
lily_of_the_valley,7
wet_sponge,7
sponge,6
rabbit,6
redstone_lamp,6
red_wool,6
gilded_blackstone,6
experience_bottle,6
magenta_banner,6
dead_horn_coral,6
oak_button,6
iron_trapdoor,6
brown_terracotta,6
pink_stained_glass,6
candle,6
copper_ingot,6
spruce_pressure_plate,5
horn_coral_fan,5
copper_block,5
large_amethyst_bud,5
crimson_roots,5
white_carpet,5
