Stat Name,Value
diamond_pickaxe,107722
diamond_shovel,70901
netherite_pickaxe,45222
diamond_sword,39406
diamond_axe,36687
diamond_hoe,33979
bricks,17235
dirt,10795
firework_rocket,9047
bone_meal,7226
grass_block,5725
netherite_shovel,5186
netherrack,5125
torch,4964
smooth_stone_slab,4742
scaffolding,4054
cut_sandstone,3826
stone,3064
wheat_seeds,2819
white_stained_glass,2671
iron_block,2458
moss_block,2398
cobblestone,2220
netherite_axe,2150
glass,2011
golden_carrot,1888
deepslate_tile_slab,1865
rail,1741
stone_bricks,1708
white_stained_glass_pane,1660
chest,1636
red_terracotta,1589
hopper,1530
cobbled_deepslate,1509
sandstone_slab,1498
carrot,1495
packed_ice,1427
moss_carpet,1416
ice,1376
kelp,1369
lime_stained_glass_pane,1338
tnt,1300
polished_andesite_slab,1299
powered_rail,1289
iron_pickaxe,1240
redstone,1229
jungle_planks,1223
bookshelf,1220
shears,1160
bucket,1145
observer,1134
deepslate,1130
snow_block,1126
iron_shovel,1106
dripstone_block,1078
polished_andesite,1052
lectern,1019
spruce_log,1009
polished_deepslate,992
shulker_box,987
bow,947
smooth_stone,945
water_bucket,930
ender_pearl,850
emerald_block,776
iron_sword,770
deepslate_bricks,761
end_stone,749
obsidian,748
iron_axe,695
cooked_beef,662
mud,654
oak_log,642
brown_mushroom,632
mud_bricks,630
dark_oak_slab,623
redstone_torch,610
soul_soil,590
dark_oak_trapdoor,576
dark_oak_log,554
terracotta,544
soul_sand,533
repeater,502
brick_slab,498
stone_pickaxe,494
polished_andesite_stairs,479
copper_block,465
azalea_leaves,452
tuff,452
mangrove_leaves,451
black_stained_glass,450
flint_and_steel,425
glowstone,423
brick_stairs,409
sticky_piston,404
piston,404
jungle_fence_gate,393
packed_mud,388
polished_deepslate_slab,387
spruce_planks,385
light_gray_stained_glass,380
flowering_azalea_leaves,376
magma_block,374
comparator,370
coarse_dirt,369
andesite,354
dark_oak_planks,353
spruce_trapdoor,337
lever,337
glass_bottle,334
black_concrete_powder,323
stone_brick_slab,315
birch_log,298
cut_sandstone_slab,294
bamboo,291
barrel,288
mossy_cobblestone,277
lantern,275
oak_leaves,275
stone_sword,274
orange_terracotta,271
stone_shovel,264
ladder,262
spruce_sapling,259
oak_planks,253
brick_wall,248
pumpkin_pie,244
coal_ore,241
cobblestone_slab,236
composter,228
azalea,228
player_head,227
granite,226
stone_axe,221
acacia_leaves,215
redstone_block,215
oak_sign,213
jungle_log,211
birch_sapling,209
birch_planks,205
string,204
deepslate_redstone_ore,201
oak_trapdoor,198
black_concrete,197
copper_ore,195
deepslate_tiles,192
sandstone,191
mangrove_planks,187
ochre_froglight,185
green_terracotta,183
spruce_fence,182
shield,181
egg,175
acacia_log,175
podzol,172
white_wool,171
light_gray_terracotta,164
birch_slab,157
cyan_stained_glass,157
stone_brick_stairs,157
chiseled_bookshelf,156
smooth_sandstone_slab,156
chiseled_sandstone,154
stone_button,151
polished_tuff_slab,146
spruce_slab,145
yellow_shulker_box,143
smooth_sandstone_stairs,142
gravel,140
crafting_table,138
dark_prismarine,138
deepslate_gold_ore,137
note_block,136
jungle_leaves,135
calcite,134
pumpkin,133
furnace,129
slime_block,129
tuff_brick_slab,127
sand,127
bamboo_slab,126
jungle_fence,126
dark_oak_sapling,125
poppy,122
nether_bricks,120
spruce_wood,117
