Stat Name,Value
sprint_one_cm,29670358
fly_one_cm,25444785
walk_one_cm,11579810
play_time,7702553
total_world_time,7702553
horse_one_cm,4216470
fall_one_cm,2697687
boat_one_cm,1962288
walk_under_water_one_cm,1202071
swim_one_cm,1182866
crouch_one_cm,772427
climb_one_cm,660086
walk_on_water_one_cm,638287
time_since_death,540535
sneak_time,260924
time_since_rest,200007
damage_dealt,165371
jump,107233
aviate_one_cm,76370
damage_taken,37264
pig_one_cm,7105
drop,5846
mob_kills,5770
damage_blocked_by_shield,4825
open_barrel,4223
open_chest,2857
traded_with_villager,1405
interact_with_furnace,879
interact_with_crafting_table,832
animals_bred,631
interact_with_blast_furnace,479
damage_dealt_resisted,306
enchant_item,272
talked_to_villager,261
interact_with_grindstone,254
sleep_in_bed,208
interact_with_smoker,130
inspect_hopper,123
leave_game,78
interact_with_stonecutter,66
interact_with_anvil,58
open_enderchest,33
use_cauldron,30
open_shulker_box,14
inspect_dispenser,12
deaths,6
interact_with_cartography_table,6
interact_with_smithing_table,6
pot_flower,5
interact_with_lectern,4
inspect_dropper,3
interact_with_campfire,3
fish_caught,2
player_kills,2
interact_with_brewingstand,1
fill_cauldron,1
bell_ring,1
interact_with_loom,1
