Stat Name,Value
arrow,4046
bone,2839
netherrack,1313
cobbled_deepslate,969
sand,964
carrot,794
bone_meal,733
cobblestone,624
wheat,612
wheat_seeds,609
mud,607
dark_oak_planks,606
mangrove_roots,463
jungle_planks,342
dark_oak_log,340
honeycomb,301
bow,292
andesite,240
dandelion,221
stick,206
rotten_flesh,187
amethyst_block,185
moss_carpet,161
oak_sapling,143
cooked_beef,139
paper,138
calcite,136
glowstone_dust,128
book,126
leather,126
raw_copper,123
tuff,119
beef,115
bone_block,108
pointed_dripstone,105
cyan_wool,104
sugar_cane,100
gravel,97
raw_iron,96
cocoa_beans,93
quartz,93
redstone,92
bamboo,88
hay_block,83
golden_boots,82
mangrove_propagule,81
smooth_basalt,79
azalea_leaves,76
lapis_lazuli,75
jungle_slab,75
copper_ingot,74
egg,70
stone,65
white_terracotta,64
red_wool,64
golden_chestplate,64
oak_planks,62
golden_leggings,60
dirt,60
oxidized_copper,58
gold_ingot,56
oxeye_daisy,56
charcoal,53
raw_gold,50
quartz_block,48
gold_nugget,46
bread,43
iron_ingot,43
beetroot_seeds,41
leather_boots,38
leather_chestplate,37
feather,36
dripstone_block,34
muddy_mangrove_roots,33
cooked_porkchop,32
soul_soil,32
dark_oak_trapdoor,31
jungle_sapling,30
leather_leggings,29
golden_helmet,29
crimson_planks,28
lapis_block,28
poppy,27
chainmail_boots,27
jungle_log,26
flint,24
spruce_leaves,24
crimson_roots,24
torch,24
gunpowder,23
mangrove_planks,21
iron_nugget,20
diorite,20
moss_block,19
spruce_sapling,19
birch_log,19
acacia_sapling,18
nether_wart_block,18
porkchop,16
flower_pot,16
leather_helmet,16
shroomlight,16
glass_pane,16
player_head,15
candle,15
flowering_azalea_leaves,15
granite,15
string,15
melon_seeds,15
glow_ink_sac,14
iron_bars,14
oak_leaves,14
spider_eye,13
mangrove_log,12
spruce_log,12
magma_block,11
oak_trapdoor,11
rail,11
enchanted_book,11
purpur_slab,11
chicken,11
warped_wart_block,10
hanging_roots,10
nether_bricks,10
lily_of_the_valley,10
golden_apple,9
chainmail_leggings,9
iron_block,9
jungle_trapdoor,9
chainmail_helmet,9
bell,9
warped_stem,9
diamond,8
pumpkin,8
redstone_block,8
brick_stairs,8
blue_stained_glass_pane,8
iron_shovel,8
chainmail_chestplate,8
powered_rail,8
raw_gold_block,7
end_rod,7
golden_carrot,7
stone_sword,7
brewing_stand,7
warped_fungus,6
clay,6
chain,6
soul_sand,5
oak_log,5
jungle_door,5
raw_iron_block,5
sunflower,5
birch_sapling,5
dead_bush,5
stone_slab,5
iron_sword,4
weeping_vines,4
black_carpet,4
azure_bluet,4
glass,4
bricks,4
white_carpet,4
oak_sign,4
cauldron,4
flint_and_steel,4
item_frame,4
iron_pickaxe,4
cyan_carpet,4
tnt,4
dried_kelp,4
red_tulip,4
cornflower,4
compass,3
name_tag,3
shears,3
iron_horse_armor,3
cactus,3
shulker_box,3
crossbow,3
orange_tulip,3
white_bed,3
end_stone_bricks,3
bowl,3
brown_carpet,3
brown_mushroom,3
iron_leggings,3
iron_axe,3
shield,3
orange_terracotta,3
iron_chestplate,3
crafting_table,2
emerald,2
gold_block,2
stone_axe,2
grindstone,2
black_dye,2
stone_shovel,2
suspicious_stew,2
spruce_trapdoor,2
spruce_planks,2
chest_minecart,2
mutton,2
twisting_vines,2
tall_grass,2
wooden_pickaxe,2
dark_oak_button,2
grass,2
hopper,2
dark_oak_chest_boat,2
golden_horse_armor,2
iron_helmet,2
coal,2
pumpkin_seeds,2
water_bucket,2
lead,2
filled_map,2
brown_candle,1
cartography_table,1
diamond_horse_armor,1
potion,1
iron_boots,1
dark_oak_sapling,1
axolotl_bucket,1
mangrove_sign,1
stone_hoe,1
stripped_oak_log,1
saddle,1
red_carpet,1
packed_mud,1
enchanted_golden_apple,1
light_gray_carpet,1
salmon,1
jungle_stairs,1
furnace,1
yellow_bed,1
flowering_azalea,1
music_disc_cat,1
coarse_dirt,1
stone_pickaxe,1
