Stat Name,Value
sugar_cane,7798
red_terracotta,4444
mangrove_leaves,4088
sand,3206
deepslate,3155
stone,3131
mud,2587
netherrack,2342
terracotta,2145
wheat,1843
oak_leaves,1620
grass,1576
white_terracotta,1532
dark_oak_log,1530
dirt,1463
copper_ore,1322
mangrove_roots,1277
carrots,1228
andesite,1170
end_stone,994
grass_block,987
nether_quartz_ore,935
iron_ore,909
coal_ore,784
stripped_spruce_log,769
diorite,755
mangrove_log,733
stripped_oak_log,711
calcite,592
spruce_log,515
gravel,481
tall_grass,434
amethyst_block,426
azalea_leaves,411
deepslate_redstone_ore,394
oak_log,376
basalt,363
tuff,360
deepslate_iron_ore,352
blackstone,340
spruce_leaves,283
orange_terracotta,246
deepslate_gold_ore,240
seagrass,231
muddy_mangrove_roots,219
dripstone_block,214
cobblestone,203
granite,196
oxidized_copper,192
scaffolding,190
jungle_log,178
clay,174
bamboo,167
flowering_azalea_leaves,145
fire,143
yellow_bed,137
glowstone,128
dandelion,120
jungle_leaves,116
poppy,115
pointed_dripstone,109
tall_seagrass,105
acacia_log,100
cobweb,95
soul_soil,91
torch,89
vine,89
weathered_copper,84
hanging_roots,80
chest,80
deepslate_diamond_ore,80
deepslate_lapis_ore,75
wall_torch,75
moss_carpet,73
dirt_path,71
purpur_block,71
hay_block,69
gold_ore,66
brain_coral_block,62
smooth_basalt,61
warped_nylium,61
crafting_table,60
nether_wart,59
rail,58
sea_pickle,57
potatoes,57
brain_coral_wall_fan,56
fire_coral_wall_fan,55
nether_gold_ore,54
lapis_ore,54
birch_log,53
copper_block,51
horn_coral_wall_fan,51
cobbled_deepslate,50
bubble_coral_wall_fan,49
moss_block,48
deepslate_copper_ore,48
red_sand,46
cactus,45
exposed_copper,43
chain,41
warped_wart_block,41
purpur_pillar,39
tube_coral_wall_fan,39
oak_sapling,37
cocoa,37
soul_sand,35
mangrove_propagule,34
barrel,33
light_gray_terracotta,33
peony,32
bubble_coral_block,32
redstone_ore,30
fire_coral_block,30
shroomlight,30
oxeye_daisy,29
brown_terracotta,28
warped_stem,28
spruce_sapling,28
horn_coral_block,27
magma_block,25
azalea,25
white_concrete,24
dark_oak_leaves,24
cornflower,23
acacia_leaves,22
nether_bricks,22
sandstone,22
furnace,22
amethyst_cluster,21
lily_of_the_valley,20
obsidian,20
tube_coral_block,20
jungle_planks,20
orange_tulip,20
end_stone_bricks,19
nether_wart_block,19
crimson_roots,18
tube_coral_fan,17
oxidized_cut_copper_stairs,17
white_tulip,17
light_gray_concrete,16
horn_coral,16
lilac,16
dark_oak_sapling,15
brain_coral_fan,13
oak_planks,13
birch_leaves,13
deepslate_brick_slab,13
sculk,13
bubble_coral_fan,12
fire_coral_fan,12
mangrove_planks,12
bell,12
bubble_coral,11
flowering_azalea,11
spruce_trapdoor,10
spruce_slab,10
birch_planks,10
soul_fire,10
brain_coral,10
crimson_nylium,9
jungle_stairs,9
horn_coral_fan,9
deepslate_brick_stairs,9
stripped_birch_log,9
potted_cactus,9
azure_bluet,9
tube_coral,9
end_rod,9
exposed_cut_copper_stairs,8
dark_oak_trapdoor,8
red_tulip,8
jungle_door,8
anvil,8
fire_coral,7
stripped_mangrove_log,7
crimson_stem,7
nether_brick_fence,7
deepslate_bricks,7
mud_brick_stairs,7
shulker_box,7
red_carpet,7
rooted_dirt,7
cut_copper_stairs,7
dead_bush,6
brewing_stand,6
purpur_stairs,6
beetroots,6
magenta_stained_glass,6
purpur_slab,6
warped_fungus,6
cobblestone_stairs,6
diamond_ore,6
potted_dead_bush,5
warped_roots,5
campfire,5
sunflower,5
cauldron,5
powered_rail,5
lever,5
allium,5
cracked_deepslate_bricks,5
jungle_slab,5
crimson_planks,5
sculk_sensor,5
oak_fence,4
water_cauldron,4
small_amethyst_bud,4
cobbled_deepslate_slab,4
spore_blossom,4
white_bed,3
oak_wall_sign,3
jungle_trapdoor,3
mossy_cobblestone,3
dark_oak_fence,3
cartography_table,3
big_dripleaf_stem,3
weeping_vines_plant,3
cyan_wool,3
brown_carpet,3
jungle_fence,3
cobbled_deepslate_stairs,3
grindstone,3
dragon_wall_head,2
pink_tulip,2
tripwire,2
smoker,2
birch_stairs,2
tnt,2
ancient_debris,2
oxidized_cut_copper_slab,2
jungle_fence_gate,2
deepslate_coal_ore,2
small_dripleaf,2
crimson_fungus,2
sculk_shrieker,2
cave_vines,2
blast_furnace,2
bamboo_sapling,2
big_dripleaf,2
dark_oak_sign,2
cave_vines_plant,2
spawner,1
twisting_vines,1
melon,1
spruce_fence,1
packed_mud,1
coarse_dirt,1
cobblestone_wall,1
budding_amethyst,1
sculk_catalyst,1
iron_bars,1
medium_amethyst_bud,1
raw_copper_block,1
nether_sprouts,1
gold_block,1
bookshelf,1
white_wall_banner,1
cyan_carpet,1
hopper,1
pumpkin,1
glass,1
black_bed,1
blue_stained_glass_pane,1
white_wool,1
light_gray_carpet,1
white_carpet,1
raw_iron_block,1
acacia_sapling,1
chorus_plant,1
brick_wall,1
sweet_berry_bush,1
gray_carpet,1
