Stat Name,Value
sugar_cane,12195
arrow,8369
bone,6806
red_terracotta,5425
carrot,5116
raw_copper,5086
mud,4868
wheat_seeds,4837
cobbled_deepslate,4403
dirt,3930
sand,3603
netherrack,3174
cobblestone,2864
mangrove_log,2757
calcite,2592
terracotta,2117
amethyst_block,1976
dark_oak_log,1923
mangrove_roots,1844
wheat,1838
redstone,1829
andesite,1752
stone,1735
bamboo,1690
white_terracotta,1641
raw_iron,1608
lapis_lazuli,1437
beef,1431
coal,1360
quartz,1350
jungle_planks,1297
stick,1132
moss_carpet,1024
end_stone,988
leather,942
bone_meal,824
stripped_spruce_log,819
diorite,730
scaffolding,726
stripped_oak_log,708
oak_sapling,660
dark_oak_planks,658
gravel,651
clay_ball,648
hay_block,646
glowstone_dust,637
oak_log,569
deepslate,565
spruce_log,561
azalea_leaves,552
deepslate_tile_stairs,533
oxidized_copper,503
bow,497
oxidized_cut_copper_stairs,488
tuff,478
raw_gold,474
muddy_mangrove_roots,454
cooked_beef,446
torch,425
basalt,423
nether_quartz_ore,402
copper_ore,397
mangrove_propagule,371
sea_pickle,365
spruce_sapling,358
honeycomb,352
dandelion,337
polished_deepslate_stairs,328
blackstone,319
granite,278
jungle_slab,272
cocoa_beans,270
polished_deepslate,265
mangrove_planks,259
jungle_log,257
clay,248
orange_terracotta,245
smooth_basalt,224
iron_ore,222
flowering_azalea_leaves,222
bone_block,214
dark_oak_sapling,213
dripstone_block,211
diamond,206
redstone_block,203
iron_ingot,200
spruce_leaves,192
oxeye_daisy,188
pointed_dripstone,186
paper,180
potato,178
cyan_wool,178
rail,175
gold_ingot,173
copper_ingot,168
bread,167
rotten_flesh,164
spruce_trapdoor,163
oak_planks,150
poppy,149
lapis_block,145
string,140
spruce_planks,140
birch_log,140
yellow_bed,139
quartz_pillar,136
fire_coral_fan,130
brain_coral_fan,130
gold_nugget,128
flint,127
porkchop,126
brain_coral_block,124
cactus,119
bubble_coral_fan,116
nether_wart,116
glow_berries,111
horn_coral_fan,110
ink_sac,110
raw_copper_block,108
tube_coral_fan,106
acacia_sapling,106
glow_ink_sac,105
coal_ore,103
moss_block,102
acacia_log,100
white_wool,97
golden_boots,97
dark_oak_trapdoor,96
soul_soil,96
gunpowder,94
flower_pot,94
jungle_sapling,90
jungle_stairs,89
glowstone,88
spruce_slab,88
chest,88
shroomlight,86
weathered_copper,84
brick,84
raw_iron_block,84
blue_stained_glass_pane,80
deepslate_tile_slab,80
golden_chestplate,79
hanging_roots,79
golden_leggings,79
chain,79
apple,78
spruce_stairs,78
oak_leaves,78
magma_block,78
birch_planks,75
beetroot_seeds,74
