Stat Name,Value
diamond_pickaxe,18224
iron_pickaxe,10271
diamond_shovel,5636
diamond_axe,5136
bow,4088
bone_meal,3244
iron_axe,2626
iron_shovel,2457
stone_axe,2442
dirt,2111
stone_hoe,2083
wheat_seeds,2073
iron_sword,1857
stone_pickaxe,1581
carrot,1533
netherrack,1484
torch,1390
stone_shovel,1102
end_stone,983
cooked_beef,869
bucket,782
water_bucket,717
cobbled_deepslate,700
scaffolding,660
diamond_sword,606
cobblestone,538
mangrove_log,442
diamond_hoe,422
nether_quartz_ore,399
copper_ore,334
wheat,278
oxidized_cut_copper_stairs,272
stone_sword,247
shears,244
copper_block,241
jungle_planks,220
basalt,219
spruce_sapling,196
iron_ore,184
egg,170
dark_oak_sapling,155
bread,155
tuff,154
oak_sapling,150
mangrove_roots,148
yellow_bed,136
mangrove_planks,122
stone,119
cobblestone_stairs,119
shield,119
cooked_porkchop,110
cyan_wool,99
wooden_pickaxe,96
barrel,96
andesite,93
oxidized_copper,89
rail,88
weathered_copper,84
spruce_log,84
hay_block,82
deepslate,79
blue_stained_glass_pane,72
sugar_cane,71
granite,65
mossy_cobblestone,64
crafting_table,63
dripstone_block,63
nether_wart,59
chest,58
potato,56
spruce_trapdoor,55
coal_ore,54
purpur_block,50
blackstone,48
mangrove_propagule,47
jungle_stairs,46
spruce_slab,46
bamboo,43
oak_log,41
painting,41
cobbled_deepslate_slab,40
jungle_slab,37
exposed_copper,36
moss_carpet,35
fishing_rod,34
cocoa_beans,33
deepslate_brick_stairs,31
purpur_pillar,31
grass_block,30
sand,30
deepslate_brick_slab,29
coarse_dirt,29
oxidized_cut_copper_slab,29
crimson_planks,29
jungle_trapdoor,28
dark_oak_chest_boat,28
white_wool,27
furnace,27
moss_block,26
gravel,26
mud_brick_stairs,25
bricks,25
chain,25
packed_mud,25
bookshelf,25
sea_pickle,24
white_concrete_powder,24
dark_oak_trapdoor,21
nether_bricks,21
lava_bucket,20
cactus,20
nether_wart_block,20
mud,20
jungle_sapling,18
candle,18
jungle_fence,17
lantern,16
red_carpet,16
light_gray_concrete_powder,16
campfire,15
cut_copper_stairs,15
white_carpet,15
azalea_leaves,14
dark_oak_log,14
flint_and_steel,14
end_stone_bricks,14
jungle_door,14
lead,13
acacia_sapling,13
anvil,13
deepslate_bricks,12
powered_rail,12
oxidized_cut_copper,12
cauldron,11
cyan_carpet,11
hanging_roots,11
flowering_azalea_leaves,10
item_frame,10
flower_pot,10
brick_stairs,10
mangrove_sign,10
redstone_block,10
jungle_fence_gate,9
birch_log,9
lever,9
dark_oak_fence,9
warped_wart_block,9
axolotl_bucket,9
cracked_deepslate_bricks,9
diorite,8
brown_carpet,8
dark_oak_sign,8
cobbled_deepslate_stairs,8
soul_sand,7
jungle_log,7
gray_carpet,7
soul_soil,7
stripped_mangrove_log,7
hopper_minecart,7
beetroot_seeds,7
spruce_stairs,7
shulker_box,7
sandstone,6
nether_brick_fence,6
amethyst_block,6
apple,6
mud_brick_wall,6
glow_berries,5
flowering_azalea,5
pointed_dripstone,5
smoker,5
map,5
mangrove_stairs,4
blast_furnace,4
spruce_sign,4
spruce_door,4
stone_button,4
acacia_log,4
dark_oak_fence_gate,4
glass,4
oak_chest_boat,4
dark_oak_stairs,4
iron_bars,3
shroomlight,3
smooth_basalt,3
tnt,3
oak_sign,3
bell,3
player_head,3
loom,3
black_bed,3
grindstone,3
azalea,3
oak_fence,3
hopper,3
cobblestone_slab,3
writable_book,2
chiseled_deepslate,2
dark_oak_slab,2
muddy_mangrove_roots,2
calcite,2
dandelion,2
oak_planks,2
crossbow,2
cooked_chicken,2
beetroot,2
brick_slab,2
dark_oak_button,2
lectern,2
red_terracotta,2
cartography_table,2
ender_pearl,2
redstone_torch,2
string,2
red_tulip,2
white_banner,2
poppy,1
red_wool,1
composter,1
birch_fence,1
smithing_table,1
enchanting_table,1
armor_stand,1
light_gray_carpet,1
brewing_stand,1
leather_boots,1
beehive,1
ender_chest,1
spruce_fence,1
iron_leggings,1
ladder,1
birch_sapling,1
brick_wall,1
orange_tulip,1
oak_leaves,1
rooted_dirt,1
raw_copper_block,1
iron_chestplate,1
milk_bucket,1
warped_fungus,1
golden_helmet,1
cobweb,1
cobblestone_wall,1
red_candle,1
brown_candle,1
stonecutter,1
