Stat Name,Value
bone_meal,13584
oak_planks,11020
gray_concrete_powder,6944
stick,6240
torch,5860
emerald,3495
iron_ingot,2882
smooth_stone_slab,2788
spruce_planks,2474
quartz_block,2116
paper,1986
pink_dye,1980
moss_carpet,1851
brick,1749
iron_nugget,1656
bricks,1440
dark_oak_planks,1348
mangrove_planks,1252
white_concrete_powder,1216
white_dye,1198
glass,1138
gray_dye,1076
black_dye,916
chest,872
coarse_dirt,832
smooth_stone,776
birch_planks,776
scaffolding,762
packed_mud,744
spruce_trapdoor,696
stone_slab,642
brown_concrete_powder,640
pink_stained_glass_pane,632
black_concrete_powder,608
cherry_planks,608
light_blue_concrete_powder,576
cyan_terracotta,576
polished_andesite,576
mossy_cobblestone,555
glass_pane,528
stone,506
blue_stained_glass_pane,504
smooth_quartz,489
polished_diorite,468
charcoal,437
spruce_stairs,404
item_frame,381
tinted_glass,380
spruce_slab,370
jungle_planks,366
oak_slab,330
pink_stained_glass,328
pink_concrete_powder,328
iron_bars,320
cooked_beef,294
polished_blackstone,292
ladder,291
mossy_stone_bricks,271
soul_torch,268
copper_ingot,265
polished_deepslate,256
cyan_concrete_powder,256
quartz_slab,248
lime_stained_glass,240
polished_tuff,236
oak_sign,228
spruce_fence,226
green_stained_glass_pane,224
dark_oak_slab,222
bread,220
cherry_stairs,210
oak_trapdoor,204
dark_oak_fence,195
barrel,192
iron_block,187
mangrove_trapdoor,182
stone_bricks,176
green_terracotta,176
blue_stained_glass,168
book,164
red_dye,164
nether_brick_slab,162
cherry_trapdoor,160
polished_deepslate_slab,158
cobbled_deepslate_stairs,158
mangrove_stairs,155
oak_fence,141
mud_bricks,140
chain,137
deepslate_brick_slab,136
spruce_button,135
lantern,134
light_gray_dye,130
cyan_dye,130
blue_concrete_powder,128
mangrove_slab,126
deepslate_tile_slab,122
stone_button,122
blue_dye,122
polished_blackstone_bricks,120
jungle_wood,120
polished_blackstone_brick_wall,120
white_wool,120
quartz_pillar,119
emerald_block,112
spruce_sign,111
crimson_planks,108
jungle_fence,105
brown_dye,102
polished_deepslate_stairs,98
mossy_cobblestone_slab,98
light_gray_wool,96
lime_stained_glass_pane,96
muddy_mangrove_roots,96
black_stained_glass,96
black_carpet,90
gold_nugget,90
green_stained_glass,88
red_carpet,84
dark_oak_trapdoor,84
green_dye,82
nether_bricks,81
lime_terracotta,80
cobbled_deepslate_wall,80
mangrove_button,80
redstone_block,78
quartz_stairs,78
chiseled_bookshelf,76
candle,75
light_blue_dye,75
orange_dye,74
oak_button,73
cherry_button,73
andesite_wall,73
bone_block,73
polished_blackstone_stairs,72
mangrove_wood,72
chiseled_stone_bricks,72
deepslate_tile_stairs,71
shulker_box,70
glass_bottle,69
cherry_slab,66
birch_slab,66
crimson_button,64
andesite_slab,64
black_candle,63
smooth_quartz_slab,62
shears,62
yellow_dye,61
furnace,61
cobblestone_stairs,61
cherry_fence,60
red_stained_glass,56
jungle_stairs,56
polished_blackstone_slab,54
deepslate_tiles,53
red_wool,52
deepslate_bricks,50
jungle_fence_gate,50
cherry_boat,49
oak_stairs,48
light_gray_carpet,48
dark_oak_stairs,48
gold_ingot,47
white_shulker_box,46
pink_wool,46
cobbled_deepslate_slab,46
redstone,45
iron_pickaxe,44
mangrove_fence,42
mud_brick_stairs,40
deepslate_brick_stairs,40
lime_dye,40
acacia_planks,40
netherite_scrap,39
cracked_deepslate_bricks,38
diorite_wall,38
jungle_button,37
black_shulker_box,37
jungle_trapdoor,35
white_banner,33
rail,32
andesite,32
pink_bed,32
bookshelf,32
hay_block,32
white_stained_glass,32
jungle_slab,32
oak_fence_gate,31
stone_hoe,31
flower_pot,29
birch_fence,27
green_carpet,27
cauldron,24
acacia_button,24
blackstone_stairs,24
polished_blackstone_wall,24
green_concrete_powder,24
sugar,24
polished_andesite_stairs,22
painting,22
bucket,22
cyan_carpet,21
white_carpet,21
end_rod,20
composter,20
enchanted_book,20
spruce_fence_gate,20
mossy_stone_brick_slab,20
hopper,20
crafting_table,20
popped_chorus_fruit,20
lever,19
iron_trapdoor,18
wheat,18
netherite_upgrade_smithing_template,18
redstone_torch,18
minecart,18
golden_apple,17
red_stained_glass_pane,16
copper_block,16
white_stained_glass_pane,16
blast_furnace,16
cherry_sign,16
string,16
cyan_wool,15
blaze_powder,14
iron_shovel,14
black_banner,14
spruce_door,14
wooden_sword,14
stone_pickaxe,13
iron_door,12
black_wool,12
mangrove_sign,12
orange_candle,12
stone_stairs,12
jungle_hanging_sign,12
warped_planks,12
tnt,12
stripped_cherry_wood,12
purpur_block,12
deepslate,12
mossy_cobblestone_stairs,12
warped_trapdoor,12
deepslate_tile_wall,12
oak_hanging_sign,12
dark_oak_sign,12
oak_boat,12
soul_lantern,11
mossy_stone_brick_stairs,11
shield,11
armor_stand,10
ender_eye,10
ender_chest,10
netherite_ingot,9
smooth_quartz_stairs,9
stonecutter,9
diamond,9
dark_oak_door,9
terracotta,8
black_glazed_terracotta,8
fishing_rod,8
white_bed,8
spire_armor_trim_smithing_template,8
mud_brick_slab,8
pumpkin_seeds,8
black_terracotta,8
clay,8
lectern,7
bow,7
repeater,7
pink_shulker_box,7
yellow_wool,6
