Stat Name,Value
aviate_one_cm,210640424
walk_one_cm,73099124
sprint_one_cm,58441450
fly_one_cm,41307999
play_time,25376160
total_world_time,25376160
horse_one_cm,14161033
walk_under_water_one_cm,4899086
crouch_one_cm,2793686
climb_one_cm,2245959
fall_one_cm,2111426
boat_one_cm,1298455
walk_on_water_one_cm,1203288
damage_dealt,992869
sneak_time,731015
swim_one_cm,550058
time_since_death,146282
jump,143612
damage_taken,87805
time_since_rest,41864
mob_kills,32271
pig_one_cm,22892
open_shulker_box,12617
damage_blocked_by_shield,10385
open_chest,8098
drop,4077
open_barrel,3922
traded_with_villager,2228
animals_bred,1863
open_enderchest,1779
sleep_in_bed,1368
interact_with_furnace,1144
interact_with_crafting_table,1054
leave_game,1009
enchant_item,553
damage_absorbed,423
talked_to_villager,384
interact_with_stonecutter,247
interact_with_anvil,182
damage_dealt_resisted,173
interact_with_grindstone,154
inspect_dispenser,152
deaths,119
inspect_hopper,83
interact_with_loom,70
tune_noteblock,54
play_noteblock,45
inspect_dropper,43
interact_with_brewingstand,27
pot_flower,19
fill_cauldron,16
play_record,12
minecart_one_cm,10
interact_with_smithing_table,9
interact_with_lectern,9
damage_resisted,8
use_cauldron,8
interact_with_beacon,7
trigger_trapped_chest,3
interact_with_cartography_table,1
raid_win,1
interact_with_blast_furnace,1
player_kills,1
