Stat Name,Value
netherrack,3644
stone,2583
wheat_seeds,2534
deepslate,2484
dark_oak_log,1961
grass_block,1827
gray_concrete_powder,1728
ender_pearl,1528
cobblestone,1456
cobbled_deepslate,1317
carrot,1309
dirt,1241
moss_block,1000
white_concrete_powder,948
arrow,899
oak_log,810
basalt,632
scaffolding,583
light_blue_concrete_powder,512
granite,421
oak_leaves,384
blackstone,363
stick,358
gray_concrete,330
beef,330
diorite,294
dripstone_block,284
tuff,284
gravel,272
cyan_concrete_powder,256
birch_log,248
mud,242
rotten_flesh,222
bow,214
cooked_beef,207
oak_planks,204
string,200
sand,185
clay_ball,165
snow_block,163
raw_copper,162
andesite,161
bone,158
diamond,140
rooted_dirt,140
bone_meal,137
mangrove_leaves,135
pink_petals,135
blue_concrete_powder,128
mossy_stone_bricks,120
firework_rocket,118
pointed_dripstone,110
quartz_block,105
oak_sign,101
spruce_sign,100
torch,92
oak_sapling,87
smooth_stone,85
mangrove_planks,83
oak_fence,78
birch_leaves,75
moss_carpet,75
black_wool,74
obsidian,73
mangrove_roots,71
black_carpet,66
paper,66
raw_iron,66
bone_block,64
dandelion,64
cooked_chicken,63
redstone,62
brick,60
yellow_concrete,58
cobblestone_slab,58
smooth_stone_slab,57
mossy_cobblestone,55
flint,53
barrel,51
coarse_dirt,51
iron_ingot,50
iron_bars,49
mangrove_propagule,49
kelp,49
oak_stairs,48
ink_sac,44
stripped_dark_oak_log,43
gunpowder,43
birch_slab,42
shears,40
spectral_arrow,40
dark_oak_slab,39
emerald,39
coal,39
warped_stem,39
warped_nylium,39
oak_boat,38
warped_wart_block,37
purpur_block,37
deepslate_tiles,36
wheat,35
egg,35
dark_oak_fence,34
oak_trapdoor,33
copper_ore,33
spruce_fence,33
gold_nugget,32
poppy,32
black_concrete_powder,31
polished_blackstone_slab,30
furnace,30
mangrove_trapdoor,29
jungle_log,28
deepslate_redstone_ore,28
spruce_planks,28
snowball,27
player_head,26
spruce_trapdoor,26
polished_deepslate,26
red_dye,25
birch_sapling,25
red_glazed_terracotta,24
chest,24
mangrove_stairs,23
cobbled_deepslate_stairs,23
glass,22
salmon,22
rail,21
sugar,21
polished_deepslate_slab,21
leather,20
stone_button,20
spruce_slab,20
baked_potato,20
black_stained_glass,20
jungle_fence,19
cobbled_deepslate_slab,17
polished_blackstone_bricks,17
orange_terracotta,17
brown_concrete_powder,16
soul_soil,16
green_concrete_powder,16
iron_ore,16
jungle_stairs,16
spider_eye,16
yellow_wool,16
cooked_porkchop,15
golden_boots,15
white_banner,15
cauldron,15
amethyst_cluster,15
birch_fence,14
diamond_sword,14
apple,14
soul_torch,14
oak_slab,14
glow_ink_sac,13
ancient_debris,13
iron_nugget,13
melon_slice,13
magma_cream,13
yellow_dye,13
mangrove_button,13
porkchop,12
warped_roots,12
leather_boots,12
beetroot,12
mushroom_stem,12
chain,12
ladder,12
stone_sword,12
shield,12
diorite_slab,11
lever,11
azalea_leaves,11
deepslate_tile_slab,11
cherry_planks,11
lapis_ore,11
big_dripleaf,11
cherry_trapdoor,11
oak_fence_gate,11
iron_sword,10
leather_leggings,10
soul_sand,10
splash_potion,10
iron_door,10
golden_leggings,10
polished_andesite_slab,10
glass_bottle,9
dark_oak_planks,9
diorite_wall,9
prismarine_crystals,9
pumpkin,9
cracked_polished_blackstone_bricks,9
shroomlight,9
stripped_mangrove_wood,8
coal_ore,8
jungle_planks,8
golden_helmet,8
spruce_stairs,8
sweet_berries,8
oak_button,8
golden_chestplate,8
iron_trapdoor,8
quartz_stairs,8
warped_trapdoor,7
diamond_pickaxe,7
cobblestone_stairs,7
mutton,7
leather_chestplate,7
ochre_froglight,7
white_concrete,7
leather_helmet,7
cherry_button,7
spruce_button,7
white_wool,6
gold_ingot,6
stripped_jungle_wood,6
lilac,6
crossbow,6
pink_dye,6
iron_shovel,6
pumpkin_seeds,6
birch_planks,6
