Stat Name,Value
grass_block,35644
netherrack,34765
deepslate,31511
stone,26319
dark_oak_log,12815
dirt,12352
sand,10433
gravel,7431
oak_log,6956
wheat,5482
short_grass,5350
scaffolding,4415
blackstone,3948
tuff,3233
oak_leaves,3091
andesite,3090
granite,2868
mangrove_leaves,2544
nether_quartz_ore,2359
red_mushroom_block,1741
mud,1611
diorite,1583
sugar_cane,1522
coal_ore,1480
red_terracotta,1451
birch_log,1428
basalt,1306
mangrove_roots,1287
rooted_dirt,1096
spruce_log,1040
azalea_leaves,1002
podzol,829
gray_concrete,781
cherry_leaves,779
cobblestone,777
jungle_log,771
torch,670
smooth_stone_slab,656
copper_ore,641
vine,629
mangrove_log,623
gray_concrete_powder,591
orange_terracotta,579
black_shulker_box,579
tall_grass,575
deepslate_redstone_ore,554
quartz_block,534
carrots,526
chest,515
soul_sand,495
blue_stained_glass_pane,487
farmland,486
cherry_log,486
obsidian,471
pink_petals,466
white_shulker_box,424
deepslate_copper_ore,420
iron_block,366
dripstone_block,366
deepslate_diamond_ore,355
pink_stained_glass_pane,352
ender_chest,351
deepslate_gold_ore,338
flowering_azalea_leaves,332
terracotta,328
iron_ore,323
moss_block,322
brown_mushroom_block,315
cyan_wool,305
quartz_slab,299
cobbled_deepslate,297
tinted_glass,292
clay,289
shulker_box,287
birch_leaves,286
fire,273
warped_nylium,268
bone_block,263
cherry_trapdoor,252
deepslate_iron_ore,251
spruce_leaves,242
red_wool,242
mushroom_stem,240
moss_carpet,224
glass,221
kelp,218
dark_oak_leaves,214
sculk,213
cyan_terracotta,196
mangrove_slab,188
wall_torch,185
deepslate_lapis_ore,180
smooth_quartz,178
pink_shulker_box,166
nether_wart_block,157
crafting_table,157
stripped_mangrove_log,154
black_bed,153
white_bed,152
dandelion,142
jungle_leaves,140
hopper,129
calcite,129
warped_wart_block,128
mangrove_stairs,125
stripped_cherry_log,125
rail,123
poppy,120
mangrove_propagule,115
nether_gold_ore,110
oak_planks,109
bamboo,107
mossy_cobblestone,106
white_concrete_powder,105
purpur_block,103
furnace,101
stripped_jungle_wood,98
soul_soil,97
mangrove_trapdoor,94
acacia_leaves,92
oak_fence,91
smooth_stone,91
kelp_plant,89
black_terracotta,88
snow_block,86
dirt_path,86
magma_block,84
pink_bed,81
stone_bricks,81
cocoa,81
red_shulker_box,71
end_stone,67
quartz_stairs,67
stripped_dark_oak_log,66
warped_stem,66
deepslate_tiles,64
cobweb,63
white_concrete,63
amethyst_block,62
black_concrete,62
spruce_trapdoor,61
lever,60
seagrass,58
black_concrete_powder,57
mossy_stone_bricks,55
light_blue_shulker_box,55
spore_blossom,54
lapis_ore,54
quartz_pillar,53
sweet_berry_bush,53
lime_terracotta,52
dark_oak_fence,50
redstone_wire,50
pink_concrete_powder,50
pointed_dripstone,49
mangrove_fence,49
yellow_concrete,48
pumpkin,48
ancient_debris,47
amethyst_cluster,47
gold_ore,45
mangrove_planks,45
ochre_froglight,45
yellow_shulker_box,43
weeping_vines,41
stripped_jungle_log,41
spruce_fence,39
player_head,38
smooth_quartz_slab,37
stripped_mangrove_wood,37
cactus,37
polished_blackstone,36
stonecutter,36
oak_slab,35
black_wool,32
nether_wart,31
weeping_vines_plant,31
powered_rail,30
deepslate_coal_ore,30
deepslate_tile_stairs,30
piston,30
orange_wool,29
brown_shulker_box,29
white_wool,29
jungle_trapdoor,28
redstone_ore,28
glow_lichen,28
crimson_stem,27
bookshelf,27
tall_seagrass,27
piston_head,27
repeater,26
green_terracotta,26
fern,26
mossy_cobblestone_slab,26
hanging_roots,26
cobblestone_stairs,26
light_blue_wool,25
red_bed,25
acacia_log,24
oak_wall_sign,24
green_stained_glass_pane,24
player_wall_head,24
deepslate_tile_slab,23
cherry_button,23
brown_mushroom,23
jungle_fence,23
ladder,22
nether_sprouts,22
oak_trapdoor,21
brain_coral_wall_fan,20
coarse_dirt,20
iron_bars,20
jungle_slab,20
mossy_stone_brick_slab,19
lilac,18
azure_bluet,18
polished_blackstone_bricks,17
crimson_nylium,17
cave_vines,17
cherry_stairs,17
green_concrete,16
warped_roots,16
black_stained_glass,16
potatoes,16
lantern,16
