Stat Name,Value
dirt,37993
deepslate,19034
cobblestone,17395
grass_block,16173
wheat_seeds,15895
dark_oak_log,13093
stone,12581
netherrack,12363
sand,11262
pink_petals,9104
cobbled_deepslate,8936
scaffolding,8016
oak_log,7538
gravel,6996
wheat,5433
blackstone,4917
cooked_beef,4851
raw_copper,3408
tuff,3297
granite,3194
arrow,3188
andesite,3138
sugar_cane,3069
leather,2952
quartz,2642
gray_concrete,2541
bone,2500
torch,2379
carrot,2182
coal,2083
lapis_lazuli,1861
quartz_block,1791
mangrove_leaves,1754
mud,1742
diorite,1713
birch_log,1591
stick,1561
red_terracotta,1444
mangrove_roots,1341
basalt,1305
ender_pearl,1290
nether_quartz_ore,1212
oak_leaves,1088
bamboo,1071
clay_ball,1049
oak_sapling,1036
spruce_log,1035
rooted_dirt,1033
rotten_flesh,1031
white_concrete,931
red_wool,924
moss_carpet,893
redstone,881
azalea_leaves,879
kelp,871
soul_sand,857
amethyst_shard,828
black_wool,826
flint,795
jungle_log,782
string,748
coal_ore,739
beef,735
moss_block,710
cherry_leaves,685
smooth_stone_slab,680
gray_concrete_powder,653
mangrove_log,621
glass_bottle,613
raw_iron,612
ink_sac,594
orange_terracotta,593
dark_oak_sapling,592
light_blue_concrete,581
black_shulker_box,579
obsidian,578
chest,546
cherry_log,528
vine,511
diamond,503
iron_block,488
blue_stained_glass_pane,486
deepslate_redstone_ore,485
dripstone_block,473
podzol,455
raw_gold,449
red_mushroom_block,445
red_mushroom,429
white_shulker_box,425
pink_wool,424
firework_rocket,416
bone_block,390
snow_block,376
ender_chest,364
pink_stained_glass_pane,352
quartz_slab,343
potion,334
terracotta,328
iron_ingot,299
nether_wart_block,297
charcoal,294
shulker_box,292
player_head,291
tinted_glass,288
flowering_azalea_leaves,284
deepslate_copper_ore,281
oak_sign,268
cyan_concrete,265
item_frame,265
calcite,253
cherry_trapdoor,250
white_wool,248
oak_planks,241
warped_nylium,240
smooth_quartz,236
bow,226
cherry_sapling,223
smooth_stone,221
mangrove_propagule,221
gold_nugget,216
glass,212
copper_ore,208
sculk,208
mangrove_slab,202
cocoa_beans,202
pointed_dripstone,196
warped_wart_block,195
pumpkin_seeds,194
orange_wool,193
chiseled_deepslate,192
dandelion,190
cyan_terracotta,190
birch_sapling,187
deepslate_gold_ore,183
birch_leaves,177
mossy_stone_bricks,175
stripped_mangrove_log,175
rail,172
white_bed,172
amethyst_block,171
magma_block,171
crafting_table,167
cyan_wool,166
pink_shulker_box,166
deepslate_diamond_ore,163
cactus,163
polished_deepslate,160
apple,159
poppy,157
black_bed,157
short_grass,155
white_concrete_powder,154
bone_meal,150
lead,142
hopper,142
egg,138
mossy_cobblestone,137
spider_eye,134
sweet_berries,130
blue_concrete,128
nether_brick_slab,128
stripped_cherry_log,125
oak_fence,124
mangrove_stairs,122
spruce_trapdoor,119
deepslate_tiles,118
spruce_sapling,116
nether_wart,115
gold_ingot,115
spruce_leaves,111
furnace,111
brown_mushroom,110
stripped_dark_oak_log,109
potato,107
powered_rail,104
deepslate_lapis_ore,101
mushroom_stem,98
stripped_jungle_wood,98
smooth_quartz_slab,95
mangrove_trapdoor,94
weeping_vines,94
soul_soil,93
deepslate_iron_ore,92
redstone_block,90
black_carpet,89
seagrass,88
black_terracotta,88
azalea,87
black_concrete_powder,86
stone_bricks,85
chorus_fruit,84
lever,83
warped_stem,83
pink_bed,81
nether_gold_ore,79
pumpkin,76
blaze_rod,75
paper,75
book,75
quartz_stairs,73
cobblestone_slab,71
red_shulker_box,71
coarse_dirt,71
ladder,67
ancient_debris,66
end_stone,65
piston,64
emerald,64
stone_slab,63
carved_pumpkin,63
purpur_block,62
bread,62
black_concrete,59
cherry_planks,58
mangrove_planks,56
light_blue_shulker_box,55
ochre_froglight,54
melon_slice,53
barrel,53
stripped_mangrove_wood,53
quartz_pillar,53
big_dripleaf,52
lime_terracotta,52
spore_blossom,52
dark_oak_fence,52
pink_concrete_powder,50
baked_potato,50
mangrove_fence,49
polished_deepslate_slab,48
yellow_concrete,48
yellow_concrete_powder,48
jungle_sapling,46
iron_ore,46
shears,44
warped_roots,44
shulker_shell,44
polished_blackstone_slab,44
yellow_shulker_box,43
gunpowder,43
spruce_fence,43
cooked_mutton,42
stripped_jungle_log,41
azure_bluet,38
lapis_ore,38
cherry_button,37
stonecutter,36
birch_slab,36
polished_blackstone,35
cauldron,34
jungle_leaves,33
chain,33
deepslate_tile_stairs,33
beetroot_seeds,33
cobblestone_stairs,33
iron_bars,32
snowball,32
painting,32
green_concrete,32
beetroot,30
mossy_cobblestone_slab,30
amethyst_cluster,30
flowering_azalea,30
salmon,30
oak_slab,30
brown_shulker_box,29
mossy_stone_brick_slab,29
repeater,28
birch_fence,28
gold_ore,28
green_terracotta,27
glow_lichen,27
diamond_sword,27
jungle_trapdoor,27
red_bed,27
crimson_stem,27
diamond_pickaxe,26
lilac,26
shield,26
oak_trapdoor,26
polished_andesite_slab,26
golden_boots,26
acacia_log,24
green_stained_glass_pane,24
jungle_stairs,24
deepslate_tile_slab,24
brain_coral_fan,24
lantern,23
diamond_helmet,23
minecart,23
jungle_fence,23
polished_blackstone_brick_wall,23
oak_button,23
hanging_roots,22
slime_ball,22
brick,22
porkchop,22
diamond_leggings,21
rose_bush,21
spectral_arrow,21
diamond_boots,21
white_banner,21
oak_boat,21
glow_ink_sac,21
redstone_ore,20
green_dye,20
polished_blackstone_stairs,19
honeycomb,19
nether_brick,19
polished_blackstone_wall,18
diamond_chestplate,18
red_glazed_terracotta,18
packed_mud,18
black_glazed_terracotta,18
golden_helmet,18
spruce_sign,17
