Stat Name,Value
diamond_pickaxe,104342
diamond_shovel,62152
diamond_axe,30439
dirt,19446
netherite_pickaxe,14134
diamond_sword,13606
bone_meal,11514
iron_pickaxe,10790
scaffolding,7226
grass_block,6923
pink_petals,6856
torch,6845
wheat_seeds,6647
netherite_shovel,6349
firework_rocket,6106
gray_concrete_powder,5482
smooth_stone_slab,3984
diamond_hoe,3705
stone_hoe,3636
stone,3312
moss_carpet,2849
netherite_axe,2463
shears,2397
iron_shovel,2378
sand,2375
cobbled_deepslate,2268
cobblestone,2191
deepslate_tile_stairs,1876
gray_concrete,1875
cooked_beef,1819
polished_tuff_slab,1536
andesite,1471
red_terracotta,1377
stone_pickaxe,1375
netherrack,1310
chest,1245
bow,1162
quartz_block,1108
glass_bottle,1074
bucket,1070
potion,1067
water_bucket,1059
air,1054
jungle_slab,1037
quartz_slab,1015
iron_axe,998
smooth_quartz,876
moss_block,872
bricks,851
azalea_leaves,840
nether_quartz_ore,822
iron_block,805
blackstone,785
white_concrete,723
cyan_terracotta,714
deepslate_tiles,712
wooden_sword,701
blue_stained_glass_pane,695
cherry_trapdoor,692
coarse_dirt,678
polished_blackstone,599
spruce_trapdoor,581
black_shulker_box,580
carrot,578
light_blue_concrete,575
netherite_sword,575
black_concrete_powder,556
coal_ore,552
deepslate,551
tinted_glass,547
packed_mud,532
glass_pane,530
brown_concrete_powder,508
iron_sword,502
spruce_stairs,499
pink_stained_glass_pane,495
mangrove_roots,490
mud,477
red_wool,472
mossy_cobblestone,461
polished_diorite,448
item_frame,435
spruce_planks,430
polished_andesite,428
white_shulker_box,427
gravel,421
glass,418
quartz_stairs,417
white_concrete_powder,417
stone_slab,380
mangrove_planks,357
ender_chest,355
oak_log,345
kelp,345
obsidian,333
stone_sword,317
pink_wool,315
smooth_quartz_stairs,313
mangrove_stairs,306
pink_concrete_powder,301
iron_bars,297
shulker_box,289
red_mushroom_block,286
polished_deepslate_slab,285
cherry_leaves,263
mangrove_slab,257
soul_torch,257
granite,251
oak_sign,245
deepslate_copper_ore,224
cyan_concrete,221
shield,220
ochre_froglight,214
ladder,212
dark_oak_fence,212
spruce_fence,211
cherry_stairs,207
mangrove_trapdoor,201
polished_tuff,194
barrel,190
polished_blackstone_slab,189
oak_leaves,188
mossy_stone_bricks,186
quartz_pillar,183
black_wool,181
bread,178
wooden_hoe,177
polished_deepslate,176
sculk,176
white_bed,175
oak_trapdoor,172
chiseled_deepslate,167
oak_fence,167
pink_shulker_box,166
crafting_table,166
deepslate_diamond_ore,160
mossy_cobblestone_slab,159
lantern,158
black_bed,157
mangrove_log,156
bone_block,148
chain,147
polished_blackstone_stairs,146
black_stained_glass,142
smooth_quartz_slab,135
jungle_trapdoor,135
lime_stained_glass,132
deepslate_tile_slab,132
snow_block,130
stripped_mangrove_log,129
basalt,128
rail,128
green_terracotta,124
lime_terracotta,124
polished_blackstone_brick_wall,123
orange_wool,121
short_grass,120
tuff,119
redstone_block,119
rooted_dirt,116
mossy_stone_brick_slab,115
dark_oak_log,114
calcite,113
cobblestone_stairs,113
cobbled_deepslate_stairs,112
warped_nylium,109
deepslate_gold_ore,107
jungle_fence,105
blue_concrete,105
dark_oak_slab,103
flowering_azalea_leaves,102
cherry_button,101
stone_axe,100
jungle_wood,98
black_carpet,97
smooth_stone,97
green_stained_glass_pane,96
mangrove_leaves,95
lime_stained_glass_pane,94
stripped_jungle_wood,92
spruce_slab,92
deepslate_iron_ore,88
packed_ice,86
stripped_dark_oak_log,86
stripped_cherry_log,85
spruce_log,84
mangrove_propagule,83
dark_oak_planks,83
mangrove_fence,82
pink_bed,82
furnace,82
sugar_cane,81
andesite_slab,81
cocoa_beans,79
lever,77
spruce_button,77
chiseled_bookshelf,76
elytra,75
egg,75
vine,74
hopper,73
oak_sapling,72
diorite,72
red_shulker_box,71
white_dye,71
cactus,69
jungle_log,69
waxed_exposed_copper_trapdoor,68
flint_and_steel,66
mud_brick_wall,65
bamboo,64
glow_ink_sac,64
piston,64
crimson_button,63
end_stone,62
player_head,62
mud_brick_slab,61
redstone,60
quartz_bricks,60
cherry_fence,60
spruce_sapling,58
golden_carrot,58
copper_ore,57
mangrove_wood,57
mangrove_button,56
light_blue_shulker_box,54
carrot_on_a_stick,54
stone_button,51
muddy_mangrove_roots,49
black_candle,49
yellow_concrete_powder,48
oak_slab,48
mud_brick_stairs,47
jungle_fence_gate,46
deepslate_lapis_ore,46
red_carpet,46
cherry_slab,45
painting,45
jungle_stairs,44
stonecutter,44
diamond_chestplate,43
cauldron,43
nether_wart,43
yellow_shulker_box,43
soul_sand,41
cherry_sapling,41
light_blue_stained_glass_pane,41
fishing_rod,41
stone_stairs,40
mud_bricks,40
deepslate_redstone_ore,40
azalea,40
stripped_jungle_log,39
terracotta,39
cobbled_deepslate_wall,37
verdant_froglight,36
cherry_planks,35
oak_planks,35
white_banner,35
weeping_vines,34
jungle_sapling,34
nether_brick_slab,34
podzol,32
light_blue_candle,32
pumpkin,32
dark_oak_trapdoor,32
deepslate_brick_stairs,31
spruce_fence_gate,30
brown_shulker_box,30
hay_block,30
light_blue_stained_glass,30
repeater,29
red_bed,28
oak_button,28
jungle_button,27
polished_granite,27
andesite_wall,27
green_carpet,26
iron_hoe,26
blackstone_stairs,26
string,26
white_carpet,26
stripped_mangrove_wood,25
wooden_axe,25
seagrass,25
pumpkin_seeds,25
purpur_block,25
bookshelf,25
polished_blackstone_wall,24
polished_andesite_stairs,24
spruce_door,23
oak_fence_gate,22
end_rod,22
composter,21
mushroom_stem,21
spruce_sign,21
cobbled_deepslate_slab,21
milk_bucket,21
green_concrete,21
cobblestone_slab,21
wooden_pickaxe,20
oak_boat,20
cyan_carpet,20
copper_block,20
flower_pot,19
dark_oak_stairs,19
black_glazed_terracotta,18
armor_stand,18
birch_leaves,18
iron_ore,18
netherite_chestplate,18
birch_fence,17
cherry_log,17
dripstone_block,17
stone_shovel,17
spruce_leaves,16
acacia_button,16
potato,16
powered_rail,16
cherry_sign,16
iron_door,15
sea_pickle,15
anvil,15
mangrove_sign,15
black_banner,15
white_wool,14
dark_oak_sign,14
deepslate_coal_ore,14
golden_apple,13
jungle_hanging_sign,13
diamond_leggings,13
soul_soil,13
green_wool,12
music_disc_cat,12
polished_deepslate_stairs,12
white_stained_glass_pane,12
soul_lantern,11
white_stained_glass,11
oak_hanging_sign,11
axolotl_bucket,11
iron_trapdoor,10
tnt,10
diorite_wall,9
wither_skeleton_skull,9
red_mushroom,9
