Stat Name,Value
iron_block,25935
spruce_planks,7224
raw_copper_block,5791
polished_deepslate,5312
oak_planks,4395
torch,4188
mangrove_slab,4170
bone_meal,4152
polished_andesite,4124
stick,3424
scaffolding,2946
mangrove_planks,2416
iron_ingot,2236
coal,1917
paper,1722
stone_bricks,1652
wheat,1629
iron_nugget,1548
baked_potato,1504
spruce_stairs,1376
spruce_fence,1335
coarse_dirt,1160
coal_block,1128
spruce_slab,978
stone_slab,768
redstone_block,758
lapis_block,725
smooth_basalt,680
tnt,588
mangrove_wood,572
glass,518
white_dye,497
polished_diorite,480
ladder,450
chest,435
barrel,393
black_terracotta,384
raw_iron_block,353
dark_oak_planks,340
mossy_cobblestone,320
diamond,315
hay_block,307
smooth_stone_slab,278
raw_iron,270
spruce_sign,261
deepslate_bricks,256
white_stained_glass,248
packed_mud,234
oak_slab,234
spruce_trapdoor,228
armor_stand,224
birch_planks,216
smooth_stone,208
copper_ingot,192
green_stained_glass,192
green_stained_glass_pane,192
mangrove_stairs,184
lantern,183
lapis_lazuli,171
yellow_stained_glass,168
gold_ingot,156
cooked_porkchop,152
raw_gold_block,149
shears,142
mud_bricks,140
light_gray_carpet,135
black_dye,132
nether_brick,128
dark_oak_slab,126
bread,116
black_concrete_powder,112
iron_leggings,110
iron_boots,110
iron_helmet,110
iron_chestplate,110
spruce_wood,108
bucket,100
light_gray_concrete_powder,96
cobblestone_slab,96
diamond_block,81
dark_oak_stairs,80
cooked_beef,77
oak_trapdoor,72
netherite_scrap,72
book,70
emerald,68
cooked_mutton,66
cobblestone_stairs,64
brown_stained_glass,64
cauldron,64
brown_stained_glass_pane,64
white_concrete_powder,64
oak_sign,63
light_gray_stained_glass,56
stripped_spruce_wood,56
deepslate_brick_slab,54
shulker_box,51
black_wool,49
polished_diorite_slab,48
mangrove_trapdoor,48
dark_oak_trapdoor,48
polished_diorite_stairs,40
polished_deepslate_slab,36
white_carpet,36
diorite_wall,36
muddy_mangrove_roots,32
black_stained_glass,32
chain,28
red_nether_bricks,27
bow,27
gray_carpet,27
anvil,27
andesite_slab,24
gray_dye,24
black_carpet,24
diorite_slab,24
blaze_powder,20
hopper,20
brick,19
gray_wool,18
netherite_ingot,18
andesite_wall,18
furnace,17
sandstone,16
mud_brick_stairs,16
white_stained_glass_pane,16
copper_block,15
cyan_carpet,15
yellow_carpet,15
light_gray_dye,14
crafting_table,14
glass_bottle,12
spruce_hanging_sign,12
dark_oak_sign,12
ender_chest,11
ender_eye,11
spruce_fence_gate,10
deepslate_brick_stairs,9
iron_pickaxe,9
brown_dye,9
diorite_stairs,8
polished_deepslate_stairs,8
oak_button,8
blue_dye,8
light_blue_dye,6
polished_andesite_slab,6
iron_axe,6
cobblestone_wall,6
mangrove_door,6
leather_helmet,5
golden_apple,5
emerald_block,5
flower_pot,4
stone_pickaxe,4
netherite_pickaxe,4
enchanted_book,4
diamond_pickaxe,4
yellow_dye,4
shield,4
leather_boots,4
yellow_shulker_box,4
lime_dye,4
iron_sword,4
stonecutter,4
spruce_door,3
oak_chest_boat,3
iron_shovel,3
flint_and_steel,3
black_banner,3
oak_boat,3
diamond_axe,2
smithing_table,2
golden_leggings,2
composter,2
golden_helmet,2
leather_horse_armor,2
spruce_pressure_plate,2
smoker,2
light_blue_shulker_box,2
stone_sword,2
netherite_sword,2
golden_chestplate,2
stone_button,2
blast_furnace,2
stone_axe,2
diamond_shovel,1
bookshelf,1
diamond_helmet,1
diamond_leggings,1
netherite_boots,1
beacon,1
light_gray_bed,1
lime_shulker_box,1
stone_shovel,1
leather_leggings,1
orange_shulker_box,1
diamond_hoe,1
blue_shulker_box,1
netherite_axe,1
light_gray_shulker_box,1
red_shulker_box,1
diamond_boots,1
orange_dye,1
writable_book,1
white_bed,1
netherite_helmet,1
stone_hoe,1
wooden_pickaxe,1
brewing_stand,1
netherite_hoe,1
netherite_chestplate,1
netherite_leggings,1
red_dye,1
diamond_sword,1
white_wool,1
netherite_shovel,1
diamond_chestplate,1
air,0
