Stat Name,Value
aviate_one_cm,211178569
walk_one_cm,51010773
fly_one_cm,50325077
sprint_one_cm,48468429
play_time,15470230
total_world_time,15470230
fall_one_cm,3858947
horse_one_cm,3807815
crouch_one_cm,2868102
time_since_death,1794537
climb_one_cm,1486131
damage_dealt,897833
walk_under_water_one_cm,860350
sneak_time,825298
swim_one_cm,711042
walk_on_water_one_cm,480280
jump,187322
pig_one_cm,70176
damage_taken,54052
boat_one_cm,51875
mob_kills,31287
open_chest,12078
open_shulker_box,9070
damage_blocked_by_shield,6700
open_barrel,5430
animals_bred,3762
strider_one_cm,2957
time_since_rest,2917
damage_dealt_resisted,2385
open_enderchest,1298
interact_with_crafting_table,996
drop,996
sleep_in_bed,845
interact_with_furnace,654
leave_game,426
enchant_item,179
damage_absorbed,159
inspect_hopper,144
interact_with_smoker,97
interact_with_brewingstand,80
interact_with_anvil,77
traded_with_villager,72
interact_with_grindstone,65
inspect_dispenser,58
interact_with_stonecutter,53
interact_with_blast_furnace,52
damage_resisted,31
talked_to_villager,27
deaths,22
interact_with_lectern,17
interact_with_smithing_table,11
interact_with_beacon,9
interact_with_loom,8
fill_cauldron,8
bell_ring,5
inspect_dropper,4
pot_flower,4
minecart_one_cm,2
player_kills,1
raid_win,1
