Stat Name,Value
netherrack,2901
stone,2442
ender_pearl,1951
ice,612
gravel,280
tnt,267
warped_fungus,245
firework_rocket,237
grass_block,196
jungle_fence_gate,192
diamond,189
dirt,161
bow,121
blackstone,103
rotten_flesh,94
cobbled_deepslate,86
cooked_beef,78
smooth_basalt,70
sculk,66
baked_potato,66
deepslate,65
rail,60
bone,55
stick,47
raw_copper,47
wheat_seeds,44
gold_nugget,42
torch,41
mangrove_leaves,39
light_gray_stained_glass,37
golden_carrot,35
red_nether_bricks,27
andesite,25
cobblestone,23
bread,22
diorite,22
coal,20
polished_diorite,18
granite,17
golden_boots,16
birch_leaves,16
arrow,16
golden_leggings,15
warped_roots,14
verdant_froglight,13
oak_leaves,13
iron_ingot,12
string,12
player_head,12
stone_bricks,12
spruce_sapling,11
gunpowder,11
mud,10
light_gray_dye,10
iron_block,10
diamond_pickaxe,9
golden_helmet,9
calcite,9
polished_diorite_slab,8
oak_sign,8
ink_sac,7
oak_log,7
dark_oak_sapling,7
flint,7
nether_gold_ore,7
polished_andesite_stairs,7
warped_nylium,7
goat_horn,6
leather_boots,6
netherite_pickaxe,6
potion,6
twisting_vines,6
chainmail_chestplate,6
moss_carpet,5
spider_eye,5
moss_block,5
polished_diorite_stairs,5
leather_chestplate,5
shield,5
leather_helmet,4
netherite_ingot,4
mutton,4
shulker_shell,4
iron_door,4
tuff,4
oak_sapling,4
glow_ink_sac,3
black_bed,3
netherite_boots,3
iron_pickaxe,3
golden_chestplate,3
leather_leggings,3
beef,3
iron_shovel,3
snow_block,3
cobblestone_wall,3
iron_boots,3
slime_block,3
brown_mushroom,3
poppy,3
tropical_fish,3
iron_leggings,3
cactus,3
bucket,3
mossy_stone_bricks,3
iron_sword,2
glass_bottle,2
crossbow,2
elytra,2
sugar,2
wheat,2
netherite_sword,2
deepslate_redstone_ore,2
netherite_helmet,2
iron_helmet,2
stone_sword,2
name_tag,2
spruce_sign,2
carrot,2
chest,2
chainmail_boots,2
diamond_leggings,2
lead,2
ender_chest,2
cracked_stone_bricks,1
saddle,1
stone_button,1
snout_armor_trim_smithing_template,1
polished_andesite_slab,1
cooked_chicken,1
birch_sapling,1
oak_planks,1
coal_ore,1
diorite_wall,1
egg,1
apple,1
chainmail_helmet,1
lava_bucket,1
diamond_helmet,1
chainmail_leggings,1
diamond_hoe,1
chicken,1
diamond_sword,1
stone_pressure_plate,1
warped_stem,1
diamond_axe,1
carrot_on_a_stick,1
cobblestone_stairs,1
diamond_shovel,1
stone_hoe,1
mossy_cobblestone,1
iron_axe,1
polished_deepslate,1
anvil,1
blaze_rod,1
composter,1
shulker_box,1
flint_and_steel,1
netherite_leggings,1
copper_ore,1
iron_chestplate,1
golden_sword,1
diamond_boots,1
