Stat Name,Value
stone,309163
deepslate,192716
andesite,17385
diorite,15250
tuff,14966
granite,14913
dirt,12952
copper_ore,12618
netherrack,12390
coal_ore,10180
gravel,8854
wheat,8821
grass_block,8430
basalt,8380
spruce_log,7231
sand,6870
sculk,6655
mangrove_roots,5162
mangrove_leaves,2836
iron_ore,2626
mangrove_log,2486
dripstone_block,2371
deepslate_redstone_ore,2241
short_grass,1309
oak_log,1213
deepslate_gold_ore,1151
deepslate_iron_ore,1049
shulker_box,1014
blackstone,966
mangrove_slab,941
sugar_cane,855
fire,693
deepslate_lapis_ore,686
deepslate_diamond_ore,681
cobbled_deepslate,628
nether_bricks,625
mud,623
vine,581
deepslate_tiles,579
cyan_terracotta,544
terracotta,536
potatoes,531
calcite,513
iron_block,504
deepslate_bricks,462
polished_deepslate,461
dark_oak_log,460
amethyst_block,432
deepslate_copper_ore,430
chest,414
torch,388
bamboo,382
warped_fungus,374
smooth_basalt,335
oak_leaves,325
cobblestone,321
lapis_ore,308
spruce_leaves,276
azalea_leaves,264
ice,259
sculk_vein,244
gold_ore,241
scaffolding,239
carrots,226
polished_deepslate_slab,219
wall_torch,217
stripped_spruce_log,209
tall_grass,181
spruce_fence,175
pointed_dripstone,173
ender_chest,172
podzol,167
nether_quartz_ore,159
white_terracotta,158
light_gray_terracotta,158
moss_block,154
birch_log,154
nether_gold_ore,153
mossy_cobblestone,149
obsidian,145
amethyst_cluster,144
infested_deepslate,144
spruce_stairs,144
spruce_slab,117
lime_stained_glass,109
redstone_ore,105
soul_sand,103
mud_bricks,103
flowering_azalea_leaves,103
red_shulker_box,98
light_blue_shulker_box,98
barrel,94
nether_wart,90
red_mushroom_block,90
spruce_planks,83
lime_stained_glass_pane,79
dark_oak_leaves,76
white_wool,75
dandelion,74
ancient_debris,72
dark_oak_stairs,70
spruce_wall_sign,68
light_gray_concrete,65
white_concrete,64
black_concrete,64
oak_planks,63
crafting_table,61
dirt_path,60
stripped_mangrove_log,59
mangrove_planks,56
poppy,53
oak_stairs,51
stone_bricks,50
packed_mud,48
stripped_dark_oak_log,48
polished_blackstone_bricks,47
polished_diorite,45
beetroots,45
brown_mushroom_block,45
magma_block,38
moss_carpet,38
glowstone,35
emerald_ore,34
birch_leaves,33
polished_deepslate_stairs,33
mangrove_propagule,33
light_gray_shulker_box,32
sculk_sensor,32
muddy_mangrove_roots,31
dark_oak_planks,30
black_bed,27
azure_bluet,27
nether_brick_fence,26
polished_andesite_stairs,25
black_terracotta,22
verdant_froglight,22
mangrove_stairs,22
deepslate_brick_slab,22
mangrove_wood,20
lantern,20
stripped_spruce_wood,19
crimson_nylium,18
mushroom_stem,18
stone_stairs,17
oak_wall_sign,16
iron_bars,16
crimson_roots,15
cracked_polished_blackstone_bricks,15
stone_slab,15
yellow_wool,14
mangrove_trapdoor,14
furnace,14
pumpkin,13
yellow_stained_glass,13
coarse_dirt,13
infested_stone,13
tnt,13
clay,12
deepslate_coal_ore,12
light_gray_bed,11
oxeye_daisy,11
warped_roots,11
soul_soil,11
rail,10
ladder,10
green_stained_glass_pane,9
spruce_trapdoor,9
weeping_vines_plant,8
oak_sign,8
lime_shulker_box,8
cornflower,8
spruce_sapling,8
black_wool,8
stone_brick_slab,7
sculk_catalyst,7
twisting_vines_plant,7
cauldron,7
warped_nylium,7
weeping_vines,7
yellow_shulker_box,7
brown_wool,6
diorite_stairs,6
player_wall_head,6
white_carpet,6
iron_door,6
white_tulip,6
andesite_wall,6
black_wall_banner,6
cocoa,6
white_bed,5
stripped_mangrove_wood,5
polished_diorite_stairs,5
warped_trapdoor,5
beacon,5
orange_tulip,5
red_carpet,5
hopper,4
cave_vines,4
spruce_pressure_plate,4
mud_brick_stairs,4
lilac,4
stonecutter,4
allium,4
cobblestone_slab,4
deepslate_emerald_ore,4
cobblestone_stairs,4
black_carpet,4
anvil,4
azalea,4
diamond_ore,4
hay_block,4
peony,4
ochre_froglight,4
gray_carpet,4
dark_oak_trapdoor,3
sculk_shrieker,3
deepslate_brick_stairs,3
spruce_wood,3
player_head,3
light_gray_stained_glass,3
dark_oak_sapling,3
blue_shulker_box,3
glass_pane,3
lily_of_the_valley,3
brown_stained_glass_pane,3
stone_pressure_plate,3
budding_amethyst,3
red_tulip,3
seagrass,3
diorite_wall,3
raw_copper_block,3
sandstone,3
nether_sprouts,3
blue_bed,3
mossy_stone_bricks,3
tall_seagrass,2
pink_tulip,2
brown_mushroom,2
polished_diorite_slab,2
spruce_sign,2
light_gray_carpet,2
light_blue_bed,2
oak_sapling,2
gilded_blackstone,2
pink_petals,2
dark_oak_slab,2
oak_door,2
white_stained_glass,2
oak_trapdoor,2
flowering_azalea,2
rose_bush,2
andesite_slab,2
polished_andesite,2
jungle_leaves,1
deepslate_tile_stairs,1
twisting_vines,1
orange_bed,1
glass,1
orange_shulker_box,1
smithing_table,1
spruce_hanging_sign,1
warped_wart_block,1
spruce_fence_gate,1
fern,1
farmland,1
brewing_stand,1
composter,1
raw_iron_block,1
jungle_door,1
wither_skeleton_wall_skull,1
slime_block,1
glow_lichen,1
birch_slab,1
bookshelf,1
packed_ice,1
infested_stone_bricks,1
gray_concrete_powder,1
cyan_carpet,1
cracked_stone_bricks,1
