Stat Name,Value
stone,311145
cobbled_deepslate,180488
raw_copper,52503
wheat_seeds,24190
andesite,22219
diorite,17701
cobblestone,17518
tuff,16003
granite,15234
dirt,14141
deepslate,13836
coal,11544
netherrack,11436
cooked_beef,9078
grass_block,9007
gravel,8972
wheat,8786
basalt,8060
spruce_log,7799
redstone,7115
lapis_lazuli,7078
sand,7013
sculk,6547
leather,6542
copper_ore,6025
mangrove_roots,5136
coal_ore,4828
scaffolding,4146
raw_iron,3675
bamboo,2960
mangrove_log,2645
potato,2502
dripstone_block,2472
ender_pearl,2373
iron_ingot,2358
mangrove_leaves,2212
arrow,2030
bone,1924
torch,1617
oak_log,1576
sugar_cane,1565
raw_gold,1560
stick,1321
iron_ore,1298
carrot,1154
deepslate_redstone_ore,1145
shulker_box,1018
ice,935
blackstone,913
mangrove_slab,906
diamond,862
moss_carpet,780
pointed_dripstone,699
dark_oak_log,694
polished_deepslate,646
gold_nugget,630
mud,613
nether_bricks,595
deepslate_tiles,575
deepslate_iron_ore,568
amethyst_block,557
yellow_stained_glass,548
deepslate_gold_ore,535
terracotta,533
cyan_terracotta,522
iron_block,515
moss_block,511
calcite,504
spruce_sapling,497
mangrove_propagule,482
vine,466
deepslate_bricks,460
rotten_flesh,454
chest,417
smooth_basalt,396
barrel,372
warped_fungus,372
polished_diorite,358
azalea_leaves,356
oak_sapling,348
beef,338
deepslate_diamond_ore,335
polished_deepslate_slab,328
white_wool,326
sculk_vein,320
deepslate_lapis_ore,316
birch_log,265
nether_wart,253
white_stained_glass,241
spruce_fence,223
mossy_cobblestone,215
stripped_spruce_log,203
ladder,202
beetroot_seeds,200
spruce_stairs,198
birch_slab,194
jungle_fence_gate,192
spruce_slab,186
gunpowder,183
ender_chest,176
ink_sac,170
podzol,166
amethyst_cluster,162
bow,159
white_terracotta,158
bread,158
light_gray_terracotta,158
dandelion,156
obsidian,153
porkchop,152
soul_sand,148
cooked_mutton,147
lapis_ore,140
flowering_azalea_leaves,139
amethyst_shard,136
deepslate_copper_ore,135
short_grass,128
firework_rocket,122
nether_quartz_ore,120
player_head,118
cooked_porkchop,115
gold_ore,115
egg,112
bone_meal,110
lime_stained_glass,109
armor_stand,107
mud_bricks,103
oak_stairs,102
light_blue_shulker_box,98
red_shulker_box,98
polished_deepslate_stairs,96
beetroot,94
string,92
lime_stained_glass_pane,79
rail,78
poppy,76
nether_gold_ore,75
spruce_sign,74
polished_andesite_stairs,73
ancient_debris,72
birch_sapling,71
dark_oak_stairs,70
oak_planks,69
cobblestone_stairs,69
crafting_table,67
cobblestone_slab,67
spruce_planks,66
light_gray_concrete,65
kelp,64
red_wool,64
black_concrete,64
white_concrete,64
lantern,61
stone_bricks,61
polished_andesite,60
birch_leaves,60
glow_ink_sac,58
stripped_mangrove_log,57
mangrove_planks,55
verdant_froglight,54
apple,52
redstone_ore,51
yellow_dye,50
spruce_trapdoor,50
stripped_dark_oak_log,48
shulker_shell,48
packed_mud,47
