Stat Name,Value
netherite_pickaxe,417712
diamond_pickaxe,213620
diamond_shovel,32846
netherite_axe,19171
wheat_seeds,9633
netherite_hoe,8569
diamond_sword,7986
cobbled_deepslate,6875
firework_rocket,6554
deepslate_bricks,6527
polished_deepslate,6502
diamond_axe,6405
smooth_basalt,6375
bone_meal,6256
deepslate_tiles,6112
copper_ore,6027
sculk,5804
torch,5129
mangrove_slab,4932
netherite_shovel,4898
coal_ore,4761
scaffolding,4380
spruce_log,4256
netherite_sword,3515
stone,2962
polished_andesite_stairs,2594
grass_block,2321
iron_pickaxe,2092
deepslate,1324
dirt,1271
spruce_fence,1264
shears,1239
netherrack,1222
mangrove_log,1176
baked_potato,1107
deepslate_redstone_ore,1095
spruce_stairs,1044
shulker_box,1044
iron_ore,1038
mangrove_roots,994
cobblestone,969
cooked_beef,852
chest,761
mangrove_leaves,679
iron_block,668
coarse_dirt,668
nether_bricks,607
bow,596
mangrove_wood,561
iron_axe,556
deepslate_gold_ore,535
potato,534
stone_stairs,519
andesite,508
barrel,485
iron_sword,467
gravel,422
stone_pickaxe,416
deepslate_iron_ore,387
spruce_sapling,370
tuff,357
spruce_slab,347
tnt,345
deepslate_diamond_ore,335
deepslate_lapis_ore,329
ladder,291
mossy_cobblestone,276
moss_block,253
polished_deepslate_stairs,243
moss_carpet,242
carrot,232
mud,225
stone_bricks,220
iron_shovel,218
lantern,215
armor_stand,207
stone_slab,206
spruce_sign,203
mud_bricks,191
white_wool,187
cooked_porkchop,186
ender_chest,179
polished_deepslate_slab,165
white_stained_glass,164
black_terracotta,163
mangrove_stairs,159
deepslate_brick_stairs,156
brown_wool,154
deepslate_brick_slab,150
mangrove_planks,150
mangrove_propagule,145
yellow_stained_glass,145
basalt,144
spruce_planks,144
packed_mud,141
lapis_ore,140
bucket,136
deepslate_copper_ore,135
water_bucket,134
dark_oak_stairs,132
stripped_spruce_log,130
oak_sapling,129
polished_diorite,126
gold_ore,115
dark_oak_log,114
nether_wart,105
egg,102
diorite,99
red_shulker_box,98
light_blue_shulker_box,98
ender_pearl,94
calcite,92
elytra,90
oak_sign,88
netherite_chestplate,85
shield,84
blue_stained_glass_pane,82
bread,78
crafting_table,76
stripped_spruce_wood,75
green_stained_glass_pane,74
hay_block,71
cooked_mutton,70
ochre_froglight,69
nether_gold_ore,68
cobblestone_slab,67
stone_sword,66
black_concrete_powder,64
white_concrete_powder,64
light_gray_concrete_powder,64
short_grass,59
muddy_mangrove_roots,58
yellow_wool,58
white_dye,53
black_wool,53
dark_oak_slab,52
oak_log,51
redstone_ore,51
wooden_axe,49
stripped_mangrove_log,47
beetroot_seeds,47
dark_oak_planks,47
glow_ink_sac,43
brown_stained_glass_pane,43
spruce_wood,42
white_carpet,42
azalea_leaves,41
obsidian,41
mangrove_trapdoor,40
spruce_trapdoor,39
polished_diorite_stairs,38
flint_and_steel,35
granite,34
flowering_azalea_leaves,33
light_gray_shulker_box,32
gray_carpet,31
polished_diorite_slab,29
black_bed,29
furnace,28
dark_oak_sapling,28
cauldron,27
cyan_terracotta,26
polished_andesite,26
anvil,24
hopper,24
andesite_wall,24
packed_ice,23
diorite_wall,23
stone_brick_slab,22
light_gray_stained_glass,22
stripped_dark_oak_log,22
wooden_hoe,22
verdant_froglight,21
andesite_slab,21
soul_sand,19
player_head,19
sandstone,19
red_mushroom,18
emerald_ore,17
light_gray_concrete,17
weeping_vines,16
blackstone,16
yellow_carpet,16
glass_bottle,16
stone_axe,16
painting,14
birch_sapling,13
cyan_carpet,13
polished_blackstone_bricks,13
chain,13
light_gray_wool,13
black_carpet,12
mud_brick_stairs,12
black_stained_glass,12
brown_mushroom,12
dark_oak_trapdoor,11
oak_trapdoor,11
crimson_roots,11
dark_oak_sign,11
wooden_pickaxe,10
glowstone,10
oak_planks,10
dripstone_block,10
iron_boots,10
light_gray_bed,10
diorite_stairs,9
spruce_fence_gate,9
rail,9
sugar_cane,9
netherite_leggings,9
writable_book,8
diorite_slab,8
lime_shulker_box,8
black_banner,8
string,8
iron_leggings,8
cobblestone_stairs,8
stonecutter,8
netherite_boots,7
yellow_shulker_box,7
crimson_nylium,7
potion,7
stone_shovel,7
cocoa_beans,6
goat_horn,6
white_bed,6
deepslate_coal_ore,6
beacon,6
oak_leaves,5
netherite_helmet,5
polished_andesite_slab,5
bamboo,5
dandelion,5
iron_chestplate,5
stone_hoe,5
spruce_door,4
golden_apple,4
mangrove_door,4
birch_log,4
oak_boat,4
oxeye_daisy,4
spruce_pressure_plate,4
iron_helmet,4
oak_chest_boat,4
wither_skeleton_skull,4
light_gray_terracotta,4
black_concrete,4
golden_carrot,4
white_stained_glass_pane,4
terracotta,4
flower_pot,4
poppy,3
azure_bluet,3
smithing_table,3
spruce_hanging_sign,3
blue_shulker_box,3
oak_fence,3
cobblestone_wall,3
minecart,3
composter,2
stripped_mangrove_wood,2
sand,2
blast_furnace,2
birch_slab,2
stone_button,2
diamond_ore,2
light_gray_carpet,2
brewing_stand,2
flowering_azalea,2
deepslate_emerald_ore,2
cornflower,2
white_terracotta,2
pearlescent_froglight,2
lever,2
white_concrete,2
azalea,2
soul_soil,2
smoker,2
beetroot,1
allium,1
honeycomb,1
orange_shulker_box,1
orange_tulip,1
orange_bed,1
warped_wart_block,1
fern,1
spruce_button,1
podzol,1
birch_sign,1
carrot_on_a_stick,1
glass,1
light_blue_bed,1
gray_concrete_powder,1
item_frame,1
magma_block,1
written_book,1
blue_bed,1
jungle_leaves,1
white_tulip,1
oak_door,1
bookshelf,1
red_tulip,1
deepslate_tile_stairs,1
stone_pressure_plate,1
pink_tulip,1
snow_block,1
pink_petals,1
jungle_door,1
