Stat Name,Value
walk_one_cm,1262416
fly_one_cm,1215832
aviate_one_cm,1150648
sprint_one_cm,651504
play_time,425983
total_world_time,425983
fall_one_cm,212305
crouch_one_cm,187242
horse_one_cm,115656
swim_one_cm,72571
walk_under_water_one_cm,57244
walk_on_water_one_cm,50280
sneak_time,48160
time_since_rest,27435
time_since_death,27280
climb_one_cm,7477
damage_taken,6887
jump,6484
damage_dealt,6213
pig_one_cm,3601
damage_blocked_by_shield,1480
damage_dealt_resisted,258
drop,99
open_chest,76
interact_with_furnace,75
interact_with_crafting_table,68
mob_kills,41
open_shulker_box,40
open_enderchest,31
open_barrel,21
leave_game,18
deaths,7
damage_resisted,5
interact_with_lectern,3
sleep_in_bed,3
inspect_dropper,1
interact_with_anvil,1
animals_bred,1
