Stat Name,Value
stone,288
deepslate,235
short_grass,101
coal_ore,56
deepslate_iron_ore,49
oak_log,45
iron_ore,40
diorite,37
deepslate_diamond_ore,24
deepslate_lapis_ore,21
clay,21
andesite,19
tall_grass,15
tuff,14
grass_block,14
dirt,13
moss_block,10
deepslate_redstone_ore,9
flowering_azalea,9
furnace,8
crafting_table,8
birch_log,7
granite,6
birch_planks,5
dark_oak_log,4
cobbled_deepslate,4
lapis_ore,4
oak_leaves,4
moss_carpet,3
lily_of_the_valley,3
torch,3
deepslate_gold_ore,3
sculk,3
fire,2
pointed_dripstone,2
azalea,2
diamond_ore,1
white_bed,1
deepslate_bricks,1
magma_block,1
azure_bluet,1
cave_vines,1
cobblestone,1
wall_torch,1
big_dripleaf,1
gray_wool,1
dripstone_block,1
