Stat Name,Value
diamond_pickaxe,445
iron_pickaxe,350
cobblestone,182
iron_axe,73
light_blue_wool,64
oak_planks,61
torch,60
stone_axe,57
cobbled_deepslate,48
stone_pickaxe,45
snow_block,40
firework_rocket,35
baked_potato,31
fishing_rod,24
cooked_porkchop,24
shield,23
bucket,20
water_bucket,19
iron_sword,13
golden_carrot,13
crafting_table,13
furnace,11
wooden_pickaxe,10
dirt,8
cooked_beef,8
cooked_mutton,6
diorite,6
wooden_sword,6
birch_planks,5
ender_pearl,5
moss_block,4
chest,4
elytra,3
iron_chestplate,3
lily_of_the_valley,3
snowball,3
iron_helmet,3
iron_boots,3
bow,3
azalea,2
tuff,2
obsidian,2
egg,2
splash_potion,2
moss_carpet,1
flint_and_steel,1
stone,1
cooked_chicken,1
scaffolding,1
iron_leggings,1
white_wool,1
golden_leggings,1
fire_charge,1
