Stat Name,Value
firework_rocket,50252
paper,28182
emerald,9705
bone_meal,8913
iron_ingot,6935
brick,5940
spruce_planks,4848
bricks,4640
oak_planks,4520
stick,3588
white_wool,3253
quartz_block,3131
stone_bricks,3066
white_dye,2852
iron_bars,2784
torch,2344
jungle_planks,2340
iron_nugget,2248
redstone,2136
dark_oak_planks,1572
glass,1524
iron_block,1427
oak_trapdoor,1296
coal,1278
jungle_trapdoor,1176
polished_diorite,1164
white_carpet,1113
yellow_concrete_powder,1096
spruce_slab,1038
deepslate_brick_slab,1024
spruce_trapdoor,1008
golden_carrot,942
cyan_terracotta,824
iron_trapdoor,823
green_terracotta,792
chain,736
coarse_dirt,716
acacia_planks,692
gold_ingot,676
lapis_lazuli,666
stone_brick_slab,652
acacia_trapdoor,588
birch_planks,548
glass_pane,544
oak_fence,540
polished_basalt,464
crimson_trapdoor,456
dark_oak_slab,438
bone_block,434
black_stained_glass,408
end_stone_bricks,384
mud_bricks,380
andesite_wall,372
crimson_planks,364
packed_mud,362
polished_andesite,352
bread,350
deepslate_brick_stairs,344
dark_oak_trapdoor,336
red_dye,314
tinted_glass,310
cooked_porkchop,302
stone_stairs,296
chest,293
spruce_wood,292
stone_brick_stairs,286
prismarine,272
smooth_sandstone_slab,270
birch_trapdoor,264
redstone_lamp,256
polished_blackstone_button,255
redstone_torch,244
raw_iron,243
oak_sign,240
polished_blackstone,240
cooked_beef,240
yellow_dye,239
emerald_block,239
light_gray_carpet,231
cobblestone_slab,222
polished_diorite_slab,222
oak_slab,216
cookie,216
book,213
stone_brick_wall,208
red_concrete_powder,208
mossy_cobblestone,206
smooth_stone,204
lime_stained_glass,200
spruce_stairs,200
mangrove_planks,196
jungle_stairs,192
cooked_mutton,192
hopper,189
black_dye,186
snow_block,184
magenta_terracotta,184
diamond_block,180
barrel,168
powered_rail,168
coal_block,166
lantern,165
andesite_slab,164
smooth_quartz_stairs,163
black_concrete_powder,160
red_stained_glass,160
furnace,146
gray_stained_glass_pane,144
lapis_block,144
diamond,135
ladder,135
bamboo_planks,134
sandstone_wall,132
shears,128
spruce_fence,123
red_wool,123
campfire,120
flower_pot,118
cyan_dye,118
beehive,117
lever,117
rail,112
bookshelf,112
raw_copper,108
redstone_block,107
stone_button,106
blast_furnace,104
smooth_sandstone_stairs,104
blue_dye,100
red_sandstone,96
scaffolding,96
bamboo_trapdoor,96
gold_block,93
spruce_fence_gate,89
light_gray_dye,88
oak_stairs,88
dark_oak_sign,87
packed_ice,85
enchanted_book,84
jungle_slab,84
polished_andesite_stairs,80
polished_diorite_stairs,80
black_terracotta,80
cyan_concrete_powder,80
copper_ingot,79
oak_fence_gate,77
smooth_quartz,76
clay,75
dark_oak_button,73
stone_slab,72
cauldron,72
raw_copper_block,72
mangrove_stairs,72
dried_kelp,72
bamboo_block,72
oak_door,69
yellow_terracotta,68
mangrove_slab,66
oak_button,65
stripped_spruce_wood,64
bucket,64
sandstone,60
tripwire_hook,60
granite_slab,60
mud_brick_wall,60
hay_block,57
dark_oak_fence,57
jungle_fence,57
polished_andesite_slab,56
light_gray_stained_glass_pane,56
dark_oak_stairs,56
crafting_table,55
smooth_quartz_slab,54
slime_block,54
stone_pressure_plate,53
red_stained_glass_pane,48
lime_terracotta,48
lime_dye,48
pumpkin_pie,48
spruce_sign,45
raw_iron_block,44
dried_kelp_block,42
repeater,42
decorated_pot,40
light_blue_terracotta,40
note_block,37
netherite_scrap,37
crimson_sign,36
purple_terracotta,36
shulker_box,35
orange_dye,34
black_stained_glass_pane,32
stone,32
red_candle,32
white_stained_glass_pane,32
white_concrete_powder,32
birch_stairs,32
red_bed,32
copper_block,30
dropper,29
blaze_powder,28
dark_oak_fence_gate,28
deepslate_brick_wall,27
dark_oak_door,27
sugar,27
dispenser,25
painting,24
crimson_slab,24
acacia_stairs,24
birch_pressure_plate,24
tnt,24
piston,24
granite_wall,24
orange_terracotta,24
acacia_fence,24
cobblestone_stairs,24
observer,24
cobblestone_wall,23
green_wool,23
raw_gold_block,22
ender_eye,21
glass_bottle,21
lectern,20
heavy_weighted_pressure_plate,20
diorite_slab,20
green_dye,19
item_frame,19
iron_door,18
red_sandstone_wall,18
smooth_stone_slab,18
baked_potato,18
gray_dye,18
raw_gold,18
yellow_wool,17
black_wool,17
birch_button,17
smooth_red_sandstone_stairs,16
brick_stairs,16
prismarine_slab,16
soul_lantern,16
blue_concrete_powder,16
cyan_glazed_terracotta,16
gray_concrete_powder,16
white_stained_glass,16
string,16
light_blue_dye,16
light_gray_stained_glass,16
orange_concrete_powder,16
jungle_sign,15
lime_carpet,15
birch_sign,15
anvil,14
ender_chest,14
pink_dye,14
cobbled_deepslate_slab,14
chiseled_stone_bricks,13
sticky_piston,12
mangrove_sign,12
light_gray_wool,12
red_carpet,12
quartz_pillar,12
polished_blackstone_wall,12
iron_sword,12
spruce_door,12
oak_wood,12
acacia_sign,12
mangrove_trapdoor,12
pumpkin_seeds,12
birch_fence,12
green_carpet,12
comparator,11
gray_wool,10
netherite_ingot,10
brick_slab,10
magenta_dye,10
lime_wool,10
mossy_cobblestone_slab,10
minecart,10
soul_campfire,9
mangrove_fence_gate,9
wheat,9
gray_carpet,9
brown_wool,9
lime_concrete_powder,8
glow_item_frame,8
armor_stand,8
cake,8
white_banner,8
yellow_stained_glass,8
prismarine_stairs,8
magenta_stained_glass,8
suspicious_stew,8
hopper_minecart,8
brewing_stand,8
blue_ice,8
writable_book,7
iron_shovel,7
shield,7
brick_wall,6
acacia_fence_gate,6
prismarine_wall,6
cyan_carpet,6
diorite_wall,6
black_carpet,6
light_gray_bed,6
smooth_red_sandstone_slab,6
red_sandstone_slab,6
mud_brick_slab,6
iron_pickaxe,5
nautilus_shell,5
bow,5
fishing_rod,5
iron_leggings,5
iron_boots,5
iron_chestplate,5
name_tag,4
lightning_rod,4
iron_helmet,4
light_blue_shulker_box,4
flint_and_steel,4
honey_block,4
recovery_compass,4
jungle_fence_gate,4
oak_pressure_plate,4
dark_oak_wood,4
compass,4
dripstone_block,4
gray_shulker_box,4
white_bed,4
white_shulker_box,3
brown_bed,3
orange_shulker_box,3
light_gray_shulker_box,3
red_shulker_box,3
mangrove_fence,3
brown_dye,3
stonecutter,3
magenta_shulker_box,3
melon_seeds,3
birch_door,3
lime_shulker_box,3
yellow_bed,3
music_disc_5,3
spruce_pressure_plate,3
stone_hoe,3
yellow_shulker_box,3
iron_axe,3
iron_hoe,3
spyglass,2
stone_pickaxe,2
conduit,2
dark_oak_boat,2
wooden_pickaxe,2
diamond_pickaxe,2
oak_boat,2
diamond_shovel,1
beacon,1
chest_minecart,1
smithing_table,1
cartography_table,1
composter,1
polished_blackstone_pressure_plate,1
spruce_boat,1
grindstone,1
cooked_chicken,1
black_bed,1
netherite_sword,1
cooked_salmon,1
netherite_shovel,1
diamond_chestplate,1
dark_oak_pressure_plate,1
diamond_leggings,1
furnace_minecart,1
diamond_axe,1
dark_oak_chest_boat,1
netherite_axe,1
diamond_boots,1
netherite_pickaxe,1
wooden_axe,1
light_weighted_pressure_plate,1
diamond_sword,1
stone_axe,1
air,0
