Stat Name,Value
aviate_one_cm,173282457
fly_one_cm,74850981
sprint_one_cm,52304886
horse_one_cm,44023853
walk_one_cm,40624424
play_time,25162133
total_world_time,25162133
fall_one_cm,8170821
time_since_death,6848734
crouch_one_cm,3892365
walk_under_water_one_cm,3238325
swim_one_cm,3219960
boat_one_cm,1978294
walk_on_water_one_cm,1892801
climb_one_cm,1371693
sneak_time,859093
time_since_rest,538871
damage_dealt,516876
jump,318415
damage_taken,279672
damage_blocked_by_shield,19450
mob_kills,12616
open_chest,9127
open_shulker_box,8348
open_barrel,6408
traded_with_villager,5624
pig_one_cm,5463
drop,4263
damage_dealt_resisted,3380
minecart_one_cm,2968
open_enderchest,2955
animals_bred,1691
interact_with_crafting_table,1498
talked_to_villager,1165
inspect_hopper,1051
interact_with_furnace,975
sleep_in_bed,506
leave_game,443
deaths,413
damage_absorbed,402
strider_one_cm,300
inspect_dispenser,208
enchant_item,181
interact_with_stonecutter,152
tune_noteblock,126
interact_with_anvil,107
interact_with_grindstone,89
inspect_dropper,88
pot_flower,49
player_kills,48
damage_resisted,47
interact_with_blast_furnace,40
use_cauldron,32
bell_ring,31
interact_with_beacon,19
interact_with_smoker,15
fish_caught,13
interact_with_brewingstand,12
fill_cauldron,10
play_noteblock,9
raid_trigger,8
interact_with_lectern,7
play_record,6
raid_win,6
interact_with_smithing_table,6
interact_with_cartography_table,1
interact_with_loom,1
trigger_trapped_chest,1
