Stat Name,Value
stone,6739
feather,5649
quartz_block,3248
arrow,2881
netherrack,2273
bone,2269
iron_bars,1888
wheat_seeds,1775
sugar_cane,1581
sandstone,948
iron_block,812
amethyst_shard,627
gold_ingot,579
sand,577
dirt,567
rotten_flesh,553
black_wool,528
moss_block,491
magma_cream,424
gunpowder,424
cooked_porkchop,422
deepslate,415
porkchop,410
end_stone,403
bamboo,402
cobblestone,374
raw_copper,342
beef,335
coal,327
bread,319
stick,302
white_carpet,300
dripstone_block,299
iron_ingot,293
player_head,292
cooked_beef,272
egg,270
potato,270
ender_pearl,269
moss_carpet,255
torch,254
oak_sapling,246
bone_meal,242
firework_rocket,225
cookie,216
iron_nugget,214
pointed_dripstone,203
chain,198
pearlescent_froglight,195
cactus,194
ochre_froglight,193
red_mushroom_block,192
soul_soil,192
leather,191
diamond,187
bow,175
string,172
grass_block,172
end_stone_bricks,170
scaffolding,152
redstone,150
glow_ink_sac,148
wheat,143
granite,143
mutton,139
clay_ball,138
diorite,130
bone_block,123
andesite,117
magma_block,112
coal_ore,109
gravel,107
cobbled_deepslate,106
cut_sandstone,105
white_candle,101
white_wool,100
snow,99
stone_stairs,94
oak_trapdoor,93
mud,90
soul_sand,88
amethyst_block,85
orange_wool,82
yellow_concrete_powder,81
lapis_lazuli,77
spectral_arrow,76
dandelion,76
oak_planks,74
rail,69
lime_stained_glass,67
lime_wool,67
polished_diorite_slab,66
azalea,66
polished_diorite,65
spruce_sapling,65
red_sandstone,64
dark_oak_trapdoor,64
bricks,64
spruce_stairs,64
spruce_log,64
nether_brick,64
yellow_stained_glass,63
poppy,63
verdant_froglight,62
cracked_polished_blackstone_bricks,62
jungle_planks,59
cooked_mutton,58
warped_wart_block,57
shears,56
wet_sponge,56
dark_oak_planks,53
stone_pressure_plate,53
dark_oak_log,53
red_tulip,53
carrot,53
raw_iron,52
magenta_wool,48
pumpkin_pie,48
cherry_log,45
cobblestone_slab,44
tuff,43
lime_dye,42
enchanted_book,42
polished_blackstone_bricks,42
honey_bottle,42
purpur_block,38
spruce_slab,34
obsidian,33
birch_sapling,33
candle,32
redstone_block,32
shulker_shell,30
red_concrete_powder,30
deepslate_bricks,29
shroomlight,29
white_banner,28
light_gray_carpet,28
end_rod,28
oak_log,26
beetroot_seeds,26
salmon,26
spider_eye,26
gold_nugget,25
cooked_salmon,25
fire_charge,25
apple,25
acacia_leaves,25
blackstone,24
orange_terracotta,23
jungle_leaves,22
golden_chestplate,22
polished_deepslate_wall,22
mossy_cobblestone,22
diamond_pickaxe,21
paper,21
leather_boots,20
pumpkin_seeds,20
flowering_azalea,20
sweet_berries,19
copper_ore,19
big_dripleaf,19
baked_potato,19
chest,19
leather_chestplate,18
iron_ore,18
golden_helmet,18
golden_leggings,18
polished_andesite_slab,17
crimson_stem,16
flint,16
deepslate_brick_stairs,16
leather_leggings,15
polished_blackstone_wall,15
spruce_leaves,15
black_terracotta,15
nether_gold_ore,15
polished_blackstone_brick_wall,14
diamond_helmet,14
splash_potion,13
oxeye_daisy,13
stone_sword,13
diamond_leggings,13
iron_chestplate,13
diamond_boots,13
glass_bottle,12
glow_berries,12
ink_sac,12
stone_bricks,12
cod,12
leather_helmet,12
golden_carrot,12
white_tulip,12
deepslate_iron_ore,12
lead,12
bucket,12
weeping_vines,11
azure_bluet,11
oak_stairs,11
iron_boots,11
crossbow,11
diamond_axe,11
yellow_wool,11
diamond_shovel,11
basalt,11
iron_axe,11
filled_map,11
nether_quartz_ore,11
emerald,10
acacia_sapling,10
brick,10
warped_stem,10
lantern,10
deepslate_gold_ore,10
diamond_chestplate,10
diorite_slab,9
stripped_dark_oak_log,9
beetroot,9
totem_of_undying,9
sugar,9
iron_leggings,9
shield,9
nether_brick_fence,8
lapis_ore,8
chainmail_leggings,8
suspicious_stew,8
diamond_sword,8
phantom_membrane,8
sculk,8
oak_leaves,8
iron_sword,7
netherite_sword,7
golden_boots,7
cobbled_deepslate_slab,7
terracotta,7
saddle,7
jungle_sapling,7
deepslate_diamond_ore,7
