Stat Name,Value
enderman,3862
skeleton,3501
cow,848
sheep,766
pig,685
zombie,512
magma_cube,450
shulker,368
creeper,195
pillager,172
wither_skeleton,172
spider,118
vindicator,114
drowned,90
player,89
squid,80
salmon,65
chicken,43
blaze,38
witch,31
phantom,28
piglin_brute,23
evoker,19
piglin,19
trader_llama,19
ravager,18
slime,11
ghast,10
cave_spider,9
wandering_trader,9
vex,8
hoglin,7
bat,7
warden,5
zombie_villager,5
guardian,3
elder_guardian,3
goat,3
frog,3
bee,3
zombified_piglin,2
glow_squid,2
cod,1
endermite,1
husk,1
rabbit,1
silverfish,1
villager,1
cat,1
horse,1
