Stat Name,Value
stone,54576
grass_block,25216
dirt,14738
sugar_cane,7336
netherrack,4569
gravel,3855
spruce_log,3524
diorite,2207
mud,2154
andesite,2065
wheat,2004
deepslate,1983
sand,1841
podzol,1808
oak_leaves,1785
iron_block,1611
short_grass,1573
clay,1471
oak_log,1388
terracotta,1383
coal_ore,1292
mangrove_leaves,1207
granite,981
end_stone,920
soul_soil,896
snow,888
jungle_log,826
cobblestone,816
basalt,788
dripstone_block,773
moss_block,701
polished_blackstone_bricks,653
tuff,601
acacia_log,593
oak_fence,569
fire,555
ender_chest,548
orange_terracotta,544
sculk,511
dirt_path,502
carrots,483
iron_ore,477
copper_ore,463
glass,462
smooth_quartz,436
red_sand,420
end_rod,419
deepslate_redstone_ore,415
mangrove_roots,400
yellow_concrete,400
birch_log,394
scaffolding,374
stone_bricks,367
green_terracotta,359
dark_oak_log,358
white_terracotta,339
packed_ice,304
yellow_shulker_box,302
sculk_sensor,302
blackstone,282
cracked_polished_blackstone_bricks,277
obsidian,267
glowstone,265
red_shulker_box,256
yellow_bed,248
deepslate_gold_ore,247
spruce_trapdoor,224
torch,222
iron_trapdoor,221
tall_grass,220
shulker_box,219
end_stone_bricks,219
chest,209
birch_leaves,207
deepslate_iron_ore,205
magma_block,201
stone_brick_stairs,197
oak_slab,196
spruce_planks,196
potatoes,194
white_shulker_box,191
red_concrete,189
muddy_mangrove_roots,189
cyan_terracotta,188
iron_bars,187
nether_quartz_ore,182
mangrove_log,180
orange_shulker_box,180
oak_trapdoor,166
stone_brick_wall,162
light_blue_shulker_box,162
bamboo,161
jungle_planks,160
yellow_stained_glass,154
gray_shulker_box,153
stripped_spruce_log,151
dead_bush,149
black_concrete,149
deepslate_diamond_ore,147
dandelion,145
amethyst_cluster,145
redstone_wire,144
polished_diorite,142
spruce_stairs,141
oak_planks,138
pumpkin,137
light_gray_shulker_box,134
bricks,133
light_gray_terracotta,131
oak_stairs,124
pointed_dripstone,121
crafting_table,118
coarse_dirt,116
azalea,115
white_wool,115
deepslate_brick_slab,114
spruce_slab,113
stone_brick_slab,113
moss_carpet,111
large_fern,109
deepslate_lapis_ore,108
amethyst_block,106
smooth_quartz_stairs,105
dark_oak_leaves,103
crimson_stem,100
lime_shulker_box,95
farmland,95
sculk_vein,95
cobblestone_stairs,92
barrel,91
calcite,91
candle,89
jungle_leaves,88
cobbled_deepslate,86
red_tulip,85
hay_block,84
oak_wall_sign,83
vine,83
spruce_leaves,82
azure_bluet,82
player_head,81
magenta_shulker_box,81
white_candle,80
flowering_azalea,80
cherry_leaves,79
warped_wart_block,78
fern,75
azalea_leaves,74
sculk_catalyst,73
dark_oak_planks,72
mangrove_planks,69
redstone_lamp,69
chain,67
spruce_fence,67
redstone_ore,67
crimson_trapdoor,67
poppy,67
gold_block,66
mushroom_stem,65
jungle_trapdoor,64
shroomlight,64
sandstone,64
bookshelf,63
jungle_stairs,61
purpur_block,59
glass_pane,58
cornflower,58
sculk_shrieker,57
sponge,56
lapis_ore,56
smooth_stone,55
wet_sponge,54
lectern,54
red_mushroom,52
polished_diorite_stairs,52
red_mushroom_block,52
acacia_leaves,50
acacia_trapdoor,49
cyan_concrete,49
cobweb,49
white_concrete,49
tinted_glass,47
light_gray_carpet,46
mossy_cobblestone,45
gray_wool,44
soul_sand,43
warped_nylium,43
cherry_log,43
ochre_froglight,40
gilded_blackstone,39
wall_torch,39
birch_trapdoor,38
dark_oak_trapdoor,37
dark_oak_fence,37
gold_ore,37
deepslate_bricks,37
white_carpet,37
prismarine,36
beehive,35
brown_mushroom,34
gray_stained_glass_pane,34
raw_copper_block,33
ancient_debris,33
sea_pickle,33
tripwire,32
yellow_concrete_powder,32
cobblestone_slab,31
hopper,31
andesite_slab,31
spruce_wood,30
lever,30
nether_bricks,30
rose_bush,30
observer,29
sweet_berry_bush,29
white_stained_glass_pane,28
tnt,28
polished_basalt,28
nether_gold_ore,28
polished_deepslate,28
repeater,27
powered_rail,27
birch_stairs,26
dark_oak_slab,26
birch_slab,26
spruce_sapling,26
dark_oak_stairs,25
orange_tulip,25
smooth_quartz_slab,23
smooth_basalt,23
lily_of_the_valley,23
cauldron,23
black_terracotta,23
pearlescent_froglight,23
seagrass,23
stone_button,22
polished_andesite_stairs,22
deepslate_copper_ore,22
melon,21
bone_block,21
peony,21
oxeye_daisy,21
warped_stem,21
stripped_spruce_wood,20
lime_carpet,20
white_wall_banner,20
polished_diorite_slab,20
piston,20
andesite_wall,20
cut_sandstone,19
flowering_azalea_leaves,18
polished_blackstone_wall,18
stone_stairs,18
birch_planks,18
deepslate_brick_stairs,18
lilac,18
granite_wall,18
oak_door,18
bee_nest,17
crimson_wall_sign,17
cobblestone_wall,16
tall_seagrass,16
player_wall_head,15
light_gray_bed,14
polished_blackstone_brick_wall,14
chiseled_stone_bricks,14
emerald_ore,14
mud_bricks,14
brick_stairs,14
bell,14
polished_andesite,14
white_bed,13
redstone_block,13
smooth_stone_slab,13
sticky_piston,13
soul_fire,13
smooth_sandstone_slab,13
cyan_wool,13
allium,13
comparator,13
