Stat Name,Value
stone,52035
grass_block,22114
dirt,20113
sugar_cane,14919
firework_rocket,6397
wheat_seeds,6039
arrow,4900
gravel,4636
clay_ball,4304
netherrack,4200
spruce_log,4166
cobblestone,3789
bone,3462
smooth_quartz,3276
moss_block,3062
carrot,2667
cooked_beef,2598
deepslate,2465
bamboo,2296
diorite,2261
andesite,2195
wheat,2063
sand,1997
podzol,1989
redstone,1799
iron_block,1703
mud,1596
oak_log,1575
oak_leaves,1514
leather,1462
coal,1376
deepslate_brick_slab,1370
glass,1303
terracotta,1294
torch,1292
scaffolding,1291
emerald_block,1282
amethyst_shard,1266
dripstone_block,1215
stick,1212
coal_ore,1210
blackstone,1196
cobbled_deepslate,1193
mangrove_leaves,1182
moss_carpet,1169
smooth_stone,1142
cooked_porkchop,1080
porkchop,1067
soul_soil,1033
white_wool,1006
granite,986
mutton,966
raw_copper,960
lapis_lazuli,957
black_wool,952
smooth_sandstone,950
jungle_log,912
end_stone,884
beef,871
snowball,847
bricks,846
bone_meal,838
potato,829
tuff,811
raw_iron,805
black_stained_glass,802
sculk,787
player_head,780
basalt,762
stone_bricks,749
deepslate_bricks,698
gunpowder,688
copper_ore,675
iron_ingot,670
egg,651
rotten_flesh,601
cooked_mutton,600
end_rod,599
acacia_log,584
ender_chest,573
sculk_sensor,543
polished_blackstone_bricks,542
mangrove_roots,531
jungle_planks,511
orange_terracotta,510
birch_log,507
dark_oak_log,488
clay,484
quartz,481
polished_andesite,473
oak_fence,473
pointed_dripstone,444
yellow_concrete,431
short_grass,420
spruce_sapling,405
white_candle,402
oak_sapling,396
red_sand,395
chain,389
brick_wall,368
deepslate_redstone_ore,365
green_terracotta,355
acacia_trapdoor,350
candle,349
ender_pearl,348
bow,345
soul_sand,345
packed_ice,343
sweet_berries,342
obsidian,342
iron_bars,341
white_dye,341
iron_trapdoor,341
white_terracotta,339
azalea,327
deepslate_gold_ore,324
string,318
cobweb,315
yellow_shulker_box,305
iron_ore,304
yellow_stained_glass,299
red_mushroom_block,298
spectral_arrow,297
golden_carrot,290
mangrove_log,290
copper_ingot,290
diamond,285
gold_ingot,282
jungle_trapdoor,276
yellow_bed,275
red_stained_glass,272
crimson_trapdoor,266
spruce_trapdoor,266
emerald,264
oak_trapdoor,262
fern,258
red_shulker_box,257
red_tulip,256
glowstone,256
end_stone_bricks,240
ink_sac,239
shulker_box,229
sculk_vein,227
lead,224
chest,223
pearlescent_froglight,222
oak_planks,221
cracked_polished_blackstone_bricks,217
rose_bush,211
stone_brick_stairs,209
stone_brick_wall,208
spruce_stairs,207
raw_gold,207
hay_block,202
oak_slab,202
iron_nugget,201
spruce_planks,195
nether_brick,193
dandelion,192
cyan_terracotta,192
white_shulker_box,191
green_dye,189
red_concrete,189
oak_sign,185
lime_wool,184
magma_block,184
deepslate_lapis_ore,181
orange_shulker_box,181
black_concrete,179
light_gray_wool,175
redstone_block,170
mangrove_propagule,166
light_blue_shulker_box,162
stone_brick_slab,162
flowering_azalea,158
azure_bluet,157
shulker_shell,156
tinted_glass,155
gray_shulker_box,154
stripped_spruce_log,154
muddy_mangrove_roots,154
deepslate_diamond_ore,149
birch_leaves,148
hopper,146
cut_sandstone,143
pumpkin,143
spruce_slab,141
spruce_sign,140
polished_diorite,140
deepslate_iron_ore,138
ochre_froglight,136
oak_stairs,134
light_gray_shulker_box,134
paper,133
dark_oak_trapdoor,132
light_gray_terracotta,131
snow,130
andesite_wall,128
light_blue_wool,128
crafting_table,127
glow_ink_sac,124
soul_torch,123
mud_bricks,122
smooth_quartz_stairs,119
dead_bush,119
