Stat Name,Value
netherite_pickaxe,78220
netherite_shovel,33145
diamond_shovel,20112
netherite_axe,13663
diamond_pickaxe,11451
dirt,10934
stone,8647
grass_block,7486
iron_block,6878
stone_bricks,6015
diamond_axe,4539
white_wool,4423
netherite_sword,4360
bow,3934
bricks,3805
diamond_hoe,3098
firework_rocket,3023
diamond_sword,2895
smooth_quartz,2882
torch,2831
bucket,2531
water_bucket,2422
deepslate_brick_slab,2414
trident,2407
iron_sword,2382
stone_brick_slab,2238
spruce_log,2223
cobblestone,1872
wheat_seeds,1835
shears,1832
netherrack,1744
iron_shovel,1471
oak_trapdoor,1409
andesite,1391
cooked_beef,1359
stone_brick_stairs,1327
diorite,1246
bone_meal,1211
oak_leaves,1208
jungle_trapdoor,1185
spruce_trapdoor,1165
redstone,1158
podzol,1142
iron_trapdoor,1128
deepslate_bricks,1110
iron_bars,1073
jungle_planks,1066
gravel,1056
green_terracotta,1053
spruce_slab,1042
yellow_concrete_powder,1013
iron_pickaxe,1012
cyan_terracotta,980
golden_carrot,973
scaffolding,911
carrot,855
coarse_dirt,821
polished_diorite,800
smooth_stone,719
oak_fence,709
mangrove_leaves,696
sugar_cane,676
tuff,666
acacia_trapdoor,622
glass,609
iron_axe,558
glass_pane,540
smooth_sandstone,532
ender_chest,518
potato,493
cooked_porkchop,484
polished_basalt,483
oak_log,470
stone_brick_wall,464
clay,433
crimson_trapdoor,432
brick_wall,427
polished_blackstone_bricks,427
cobbled_deepslate,420
end_stone_bricks,393
chain,392
yellow_concrete,376
soul_soil,375
light_gray_carpet,369
mossy_cobblestone,367
short_grass,363
oak_sign,361
pearlescent_froglight,356
dark_oak_trapdoor,345
andesite_wall,341
player_head,336
spruce_stairs,336
spruce_planks,328
oak_planks,326
redstone_lamp,317
deepslate,316
spruce_wood,315
terracotta,315
iron_hoe,314
sweet_berries,309
yellow_shulker_box,305
stone_hoe,298
tinted_glass,280
smooth_quartz_stairs,279
smooth_sandstone_slab,279
mud_bricks,277
polished_andesite,274
polished_blackstone_button,269
red_shulker_box,257
barrel,249
yellow_bed,248
jungle_stairs,246
mangrove_roots,241
mangrove_planks,240
chest,240
cobblestone_slab,238
shield,235
shulker_box,232
cooked_mutton,232
birch_trapdoor,231
oak_slab,231
granite,229
bone_block,227
mud,218
ochre_froglight,213
black_wool,213
hopper,212
red_concrete_powder,202
deepslate_brick_stairs,194
white_shulker_box,191
andesite_slab,190
red_concrete,189
powered_rail,188
birch_log,187
jungle_log,185
snow_block,184
orange_shulker_box,181
oak_stairs,179
end_rod,176
spruce_fence,176
packed_ice,174
rail,171
granite_wall,167
obsidian,166
crafting_table,165
light_blue_shulker_box,163
coal_ore,163
fern,162
egg,162
black_concrete_powder,162
stone_stairs,162
dark_oak_slab,160
gray_stained_glass_pane,160
polished_diorite_slab,158
bamboo,157
lever,157
spruce_sapling,156
mud_brick_wall,155
basalt,153
slime_block,153
gray_shulker_box,153
cracked_polished_blackstone_bricks,153
glass_bottle,150
dripstone_block,149
chiseled_stone_bricks,146
stone_pickaxe,144
bookshelf,137
stone_axe,136
lime_stained_glass,135
pumpkin,135
cobblestone_wall,135
light_gray_shulker_box,134
birch_leaves,133
black_concrete,133
campfire,132
sandstone_wall,128
potion,127
stone_button,126
sand,124
polished_diorite_stairs,124
smooth_stone_slab,122
air,116
acacia_log,110
stone_slab,109
lantern,106
smooth_sandstone_stairs,106
beehive,104
black_terracotta,103
repeater,102
ladder,101
glow_ink_sac,100
redstone_torch,100
smooth_quartz_slab,99
bamboo_trapdoor,99
polished_deepslate,97
dark_oak_sign,97
lime_shulker_box,96
iron_ore,96
orange_terracotta,95
moss_carpet,92
deepslate_redstone_ore,92
stripped_spruce_log,91
cauldron,90
polished_andesite_stairs,90
verdant_froglight,90
dark_oak_stairs,90
oak_door,90
spruce_fence_gate,87
jungle_slab,87
brick_stairs,86
stripped_spruce_wood,85
mangrove_stairs,84
copper_ore,82
hay_block,82
magenta_shulker_box,81
oak_fence_gate,78
flowering_azalea,78
flint_and_steel,77
mangrove_slab,75
lectern,74
white_carpet,74
dark_oak_button,73
jungle_fence,69
dark_oak_fence,69
rose_bush,68
cyan_concrete_powder,67
crossbow,65
granite_slab,65
polished_deepslate_slab,64
oak_button,64
red_stained_glass,64
spruce_sign,61
lime_carpet,61
red_mushroom,60
polished_deepslate_stairs,60
mushroom_stem,58
blackstone,57
crimson_sign,57
yellow_terracotta,57
chiseled_quartz_block,56
flower_pot,56
wet_sponge,56
pointed_dripstone,56
azure_bluet,53
cobblestone_stairs,53
birch_stairs,52
furnace,52
tripwire_hook,52
raw_copper_block,52
observer,52
painting,52
fishing_rod,52
ender_pearl,51
peony,50
calcite,49
cyan_concrete,49
black_stained_glass,48
sea_pickle,48
note_block,48
white_stained_glass_pane,48
tnt,46
red_tulip,46
powder_snow_bucket,45
polished_andesite_slab,45
blast_furnace,43
decorated_pot,43
gray_wool,43
light_gray_stained_glass_pane,42
red_carpet,42
coal_block,41
gray_stained_glass,41
piston,40
red_stained_glass_pane,40
magma_block,40
sculk,40
prismarine_wall,38
oak_sapling,37
string,37
polished_deepslate_wall,36
deepslate_gold_ore,36
brown_mushroom,36
dark_oak_planks,36
red_bed,35
white_concrete,35
dispenser,34
lime_terracotta,34
spyglass,33
golden_hoe,32
white_concrete_powder,32
mangrove_log,31
dead_bush,30
bread,30
deepslate_tile_stairs,30
acacia_fence,29
mud_brick_stairs,29
magenta_terracotta,29
light_gray_dye,29
yellow_stained_glass,29
moss_block,28
iron_door,28
totem_of_undying,28
comparator,28
red_candle,28
cut_sandstone,27
deepslate_brick_wall,26
diorite_slab,26
muddy_mangrove_roots,26
dark_oak_fence_gate,26
birch_pressure_plate,26
mangrove_trapdoor,26
redstone_block,25
snowball,24
sticky_piston,24
black_stained_glass_pane,24
lilac,24
deepslate_tile_wall,24
copper_block,24
raw_gold_block,23
dark_oak_door,23
lily_of_the_valley,22
cactus,22
birch_sign,22
heavy_weighted_pressure_plate,22
deepslate_lapis_ore,21
chiseled_sandstone,21
gilded_blackstone,21
azalea_leaves,20
melon,20
gray_carpet,20
shroomlight,20
mangrove_sign,20
acacia_sign,19
light_gray_bed,19
lime_dye,19
smooth_basalt,19
raw_iron_block,19
soul_sand,18
crimson_slab,18
soul_lantern,18
anvil,18
birch_planks,17
orange_dye,17
pumpkin_seeds,17
white_dye,17
splash_potion,17
jungle_sapling,16
lava_bucket,16
red_sandstone_wall,16
cooked_salmon,16
blue_concrete_powder,16
soul_campfire,16
dropper,16
cobbled_deepslate_slab,16
nether_bricks,16
packed_mud,16
jungle_sign,16
tropical_fish,16
smooth_red_sandstone_stairs,16
birch_button,15
smooth_red_sandstone,15
bell,15
redstone_ore,15
white_banner,15
black_carpet,14
item_frame,14
end_stone,14
red_mushroom_block,14
light_blue_terracotta,14
gold_ore,13
yellow_dye,13
acacia_sapling,13
spruce_door,13
polished_granite,13
prismarine_slab,13
cyan_wool,13
acacia_stairs,13
wooden_pickaxe,12
cyan_glazed_terracotta,12
green_carpet,12
andesite_stairs,12
mossy_cobblestone_slab,12
orange_concrete_powder,12
oak_wood,12
dried_kelp_block,11
bee_nest,11
yellow_wool,11
pink_petals,11
lapis_block,11
brick_slab,11
gray_concrete_powder,11
pink_dye,11
turtle_egg,10
deepslate_tiles,10
mangrove_propagule,10
hopper_minecart,10
cobbled_deepslate_stairs,10
red_dye,10
birch_fence,9
warped_stem,9
